Equipment,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
FRBC Forward Bandwidth % 26 8,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
FRBC Forward Bandwidth % 26 9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1
FRBC Forward Bandwidth % 26 10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 26 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FRBC Forward Bandwidth % 29 0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 29 1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
FRBC Forward Bandwidth % 29 2,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,1,1,1,1,1,1,1,0
FRBC Forward Bandwidth % 29 3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0
FRBC Forward Bandwidth % 29 4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
FRBC Forward Bandwidth % 29 5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0
FRBC Forward Bandwidth % 29 6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 29 7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 29 8,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1
FRBC Forward Bandwidth % 29 9,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 29 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 29 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCF Throughput(Mbytes) 21,119,125,92,69,81,83,75,137,103,116,113,112,123,109,121,137,143,144,140,140,162,116,135,119
PCF Throughput(Mbytes) 22,44,31,27,42,25,18,41,44,47,83,92,82,93,66,70,79,62,97,61,60,58,98,79,50
PCF Throughput(Mbytes) 23,65,67,55,22,22,24,44,86,93,104,100,130,161,146,123,127,156,174,137,133,135,127,119,172
PCF Throughput(Mbytes) 24,56,29,117,143,197,150,192,74,121,104,111,100,87,122,136,132,94,86,147,150,133,109,118,72
PCF Throughput(Mbytes) 25,57,77,94,105,34,57,47,127,70,88,88,100,103,127,122,140,155,141,158,151,169,162,173,164
PCF Throughput(Mbytes) 26,62,45,41,30,19,23,39,102,126,111,107,124,154,139,137,137,125,126,140,117,152,137,136,120
PCF Throughput(Mbytes) 29,84,38,33,23,20,23,42,110,86,157,126,117,116,127,117,110,125,136,138,105,137,142,119,105
Simultaneous Connections 21 0,14,12,10,9,9,9,10,12,13,12,13,17,15,15,14,13,13,17,15,19,15,14,14,16
Simultaneous Connections 21 1,11,11,9,10,11,10,12,11,15,15,14,14,14,12,14,14,14,13,14,15,16,15,12,11
Simultaneous Connections 21 2,9,7,9,7,9,9,11,11,14,14,16,16,15,15,17,14,14,14,13,14,15,16,13,12
Simultaneous Connections 21 3,8,7,7,6,8,7,10,9,11,11,11,12,15,13,12,10,10,14,14,12,12,12,12,8
Simultaneous Connections 21 4,13,9,10,10,10,10,12,13,12,13,13,13,14,14,14,13,13,15,15,13,15,13,11,11
Simultaneous Connections 21 5,14,14,12,13,10,10,14,13,17,16,16,15,14,18,15,16,16,15,17,15,14,15,13,12
Simultaneous Connections 21 6,11,11,8,9,9,8,11,11,13,12,13,13,13,12,16,16,16,15,16,17,15,14,15,13
Simultaneous Connections 21 8,17,17,14,14,13,16,17,21,19,19,22,22,22,22,23,23,24,24,22,21,24,22,23,19
Simultaneous Connections 21 9,15,17,11,9,11,12,12,14,14,18,20,19,18,21,22,21,24,23,23,23,24,23,23,21
Simultaneous Connections 21 10,12,11,10,11,11,10,10,11,11,13,15,13,14,15,13,13,14,15,14,15,12,10,10,12
Simultaneous Connections 21 11,9,8,7,7,6,7,9,10,11,13,10,13,14,16,16,16,15,13,11,14,14,12,12,10
Simultaneous Connections 21 12,10,8,9,9,7,8,9,11,11,9,10,12,11,12,14,14,14,11,13,12,14,12,12,10
Simultaneous Connections 22 0,7,7,7,5,5,5,7,9,14,11,12,11,12,15,14,11,10,12,12,12,14,13,11,10
Simultaneous Connections 22 1,10,9,8,9,7,10,8,12,11,10,9,10,12,12,10,12,12,13,11,13,12,11,12,10
Simultaneous Connections 22 2,8,6,6,8,6,5,8,6,10,8,10,8,10,11,11,10,10,9,10,9,9,9,8,8
Simultaneous Connections 22 3,8,8,8,7,6,7,7,9,9,9,15,11,12,14,10,11,12,11,10,9,9,11,10,8
Simultaneous Connections 22 4,7,7,8,7,7,5,8,8,10,8,9,11,11,12,15,11,11,10,10,14,12,10,10,11
Simultaneous Connections 22 5,14,14,15,13,13,13,14,14,13,14,15,16,16,15,16,18,16,16,13,16,13,15,11,12
Simultaneous Connections 22 6,9,8,7,7,6,5,7,7,9,9,12,9,10,11,10,11,11,10,11,9,10,10,10,8
Simultaneous Connections 22 7,10,8,9,7,10,10,9,11,12,11,13,12,11,11,11,12,12,13,11,11,11,10,13,10
Simultaneous Connections 22 8,9,8,9,9,11,7,9,8,14,11,13,10,10,10,11,13,10,10,10,12,8,11,11,10
Simultaneous Connections 22 9,8,8,8,8,8,7,8,8,10,10,11,11,10,12,11,12,10,10,11,10,9,9,9,11
Simultaneous Connections 22 10,9,7,8,8,9,9,9,10,12,11,11,10,9,10,11,12,11,13,10,12,13,12,11,9
Simultaneous Connections 22 11,11,11,9,9,10,8,9,11,11,11,13,12,12,12,15,13,12,14,11,10,11,12,11,9
Simultaneous Connections 23 0,11,11,11,9,12,10,11,13,14,15,17,14,14,16,21,18,19,17,19,19,20,18,17,17
Simultaneous Connections 23 1,10,10,9,10,9,11,12,14,15,15,16,17,16,17,16,17,17,20,20,17,19,18,17,15
Simultaneous Connections 23 2,10,7,8,8,8,8,10,10,9,11,9,11,10,9,11,12,12,10,12,8,11,9,10,10
Simultaneous Connections 23 3,8,8,7,7,7,10,8,9,12,10,12,14,14,14,13,15,13,13,11,10,11,11,11,8
Simultaneous Connections 23 4,16,12,12,12,12,11,15,16,18,18,17,20,22,19,20,19,19,19,17,18,20,20,18,17
Simultaneous Connections 23 5,15,14,12,11,11,12,14,15,17,14,15,16,17,18,20,16,17,16,15,18,15,17,14,14
Simultaneous Connections 23 6,16,12,9,8,9,9,9,12,12,14,16,17,18,14,17,20,18,18,19,18,19,19,18,16
Simultaneous Connections 23 7,14,10,11,8,8,10,10,11,14,12,14,17,15,15,17,16,16,17,14,14,16,16,15,14
Simultaneous Connections 23 8,16,13,13,11,12,11,11,15,13,15,16,13,16,17,17,18,16,19,17,17,19,19,18,14
Simultaneous Connections 23 9,11,9,8,8,8,8,10,11,14,14,13,14,14,14,14,15,17,16,13,14,14,15,15,11
Simultaneous Connections 23 10,6,6,6,5,4,5,6,9,7,9,9,13,9,10,10,13,8,9,9,7,9,9,10,11
Simultaneous Connections 23 11,9,9,7,7,8,7,8,9,10,11,10,11,13,10,9,10,10,9,9,8,9,9,12,9
Simultaneous Connections 24 0,11,10,11,12,10,15,12,14,19,16,19,17,17,19,18,16,15,16,17,17,17,16,16,15
Simultaneous Connections 24 1,9,10,7,12,8,9,11,13,12,14,17,17,16,18,14,16,16,14,19,16,16,21,15,13
Simultaneous Connections 24 2,15,11,12,11,12,12,13,13,16,14,17,14,14,18,16,14,14,14,16,15,16,13,12,11
Simultaneous Connections 24 3,11,9,10,9,9,10,9,11,11,12,11,13,13,12,15,15,16,12,13,15,13,13,12,12
Simultaneous Connections 24 4,9,10,9,8,8,9,10,13,13,14,15,14,15,14,13,15,14,13,12,15,17,18,13,13
Simultaneous Connections 24 5,10,11,10,9,10,11,14,14,16,14,14,17,17,19,16,18,14,16,15,16,17,16,16,14
Simultaneous Connections 24 6,15,11,12,10,10,14,12,13,13,15,13,14,15,14,14,16,18,16,17,16,14,13,14,11
Simultaneous Connections 24 7,8,9,9,7,9,8,9,11,14,12,11,12,12,13,12,12,14,12,12,13,15,14,10,10
Simultaneous Connections 24 8,17,17,16,17,18,16,20,20,22,23,24,24,23,24,24,24,24,23,24,24,24,24,24,22
Simultaneous Connections 24 9,23,18,16,19,16,17,21,22,24,24,24,23,24,23,24,24,22,22,23,22,22,23,23,22
Simultaneous Connections 24 10,14,11,10,9,9,9,10,11,13,12,12,13,11,13,12,11,11,11,13,13,12,12,11,11
Simultaneous Connections 24 11,11,9,8,9,7,7,11,10,13,10,12,12,10,13,14,13,14,13,15,15,16,18,13,12
Simultaneous Connections 25 0,16,12,13,11,10,13,15,17,18,15,17,18,21,18,21,22,21,23,17,23,23,17,17,21
Simultaneous Connections 25 1,12,11,10,8,11,10,11,15,15,17,17,16,16,18,17,20,21,22,19,19,19,19,17,17
Simultaneous Connections 25 2,8,6,6,5,6,5,7,7,7,8,9,10,9,10,12,9,10,9,10,11,9,9,10,9
Simultaneous Connections 25 3,7,7,5,5,6,5,8,7,7,7,10,11,12,14,14,13,11,11,13,12,13,10,9,9
Simultaneous Connections 25 4,18,12,12,11,10,10,12,13,14,16,16,15,15,17,16,18,18,18,17,19,18,19,18,14
Simultaneous Connections 25 5,15,13,10,11,10,9,10,13,16,17,18,14,15,17,18,19,19,17,17,20,18,17,19,16
Simultaneous Connections 25 6,13,11,11,9,8,9,11,11,14,12,16,15,13,16,19,17,17,16,17,16,14,18,15,14
Simultaneous Connections 25 7,14,13,11,8,9,10,11,13,12,15,16,15,18,14,16,15,16,15,13,17,13,17,15,11
Simultaneous Connections 25 8,12,11,11,10,9,10,11,15,13,17,16,17,15,15,16,18,20,18,19,19,22,19,15,16
Simultaneous Connections 25 9,15,16,11,12,13,12,14,14,19,18,19,19,18,20,20,19,19,19,17,19,19,20,18,17
Simultaneous Connections 25 10,10,9,7,7,9,7,7,9,9,9,9,10,12,12,12,10,10,11,10,9,12,9,9,10
Simultaneous Connections 25 11,9,8,7,7,8,8,8,8,8,8,12,9,11,10,9,10,10,9,12,11,10,12,12,10
Simultaneous Connections 26 0,12,11,12,11,11,10,12,13,16,16,17,19,18,19,18,19,19,18,17,18,16,16,16,16
Simultaneous Connections 26 1,10,11,11,10,8,10,11,12,15,16,17,17,17,17,17,19,19,20,19,19,19,16,17,17
Simultaneous Connections 26 2,11,7,7,7,6,7,7,9,8,9,11,12,12,13,13,10,13,12,13,14,12,12,13,11
Simultaneous Connections 26 3,6,6,5,5,8,8,8,8,8,8,14,10,9,11,10,11,10,11,11,11,11,11,12,10
Simultaneous Connections 26 4,16,14,13,14,13,12,14,16,19,20,20,19,23,21,23,21,21,22,21,19,20,20,18,17
Simultaneous Connections 26 5,18,15,15,13,12,13,13,17,19,17,17,18,19,19,18,19,17,19,17,16,16,17,17,16
Simultaneous Connections 26 6,24,22,19,17,20,17,19,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Simultaneous Connections 26 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simultaneous Connections 26 8,15,14,11,10,10,12,11,13,15,19,20,19,20,22,18,19,22,19,20,18,17,19,18,15
Simultaneous Connections 26 9,14,17,14,12,11,11,13,14,16,17,19,19,20,19,21,20,21,19,20,20,20,19,20,19
Simultaneous Connections 26 10,10,8,8,8,7,9,9,10,12,14,12,13,13,14,15,16,15,13,13,11,11,10,10,12
Simultaneous Connections 26 11,9,8,8,6,7,8,13,7,10,10,9,9,11,9,10,10,10,11,9,10,10,11,10,11
Simultaneous Connections 29 0,15,16,13,10,11,11,15,18,21,22,19,19,18,21,20,18,20,20,20,22,23,18,16,17
Simultaneous Connections 29 1,15,13,14,13,12,13,15,16,20,19,18,22,20,20,23,19,20,19,23,22,21,20,18,17
Simultaneous Connections 29 2,19,13,11,11,10,10,9,12,12,13,14,14,15,19,18,17,16,19,17,17,18,18,17,16
Simultaneous Connections 29 3,14,14,13,12,11,11,13,15,14,15,15,16,15,18,20,19,17,20,15,16,16,16,18,15
Simultaneous Connections 29 4,18,17,17,17,18,17,17,21,21,21,22,20,22,21,22,22,23,22,21,21,21,23,19,19
Simultaneous Connections 29 5,14,12,15,12,11,14,17,16,17,22,20,19,20,19,20,23,19,21,20,19,18,19,23,19
Simultaneous Connections 29 6,8,6,5,6,5,5,8,9,9,8,9,11,9,10,12,11,10,11,11,10,12,10,12,10
Simultaneous Connections 29 7,8,8,8,8,7,7,8,11,10,10,9,9,9,9,10,9,11,11,10,10,11,12,12,10
Simultaneous Connections 29 8,15,14,10,13,9,12,11,13,16,15,15,18,18,17,15,19,15,18,16,19,16,19,15,13
Simultaneous Connections 29 9,17,12,13,10,11,12,15,16,16,16,15,16,18,15,17,16,18,16,21,17,17,16,19,15
Simultaneous Connections 29 10,8,6,6,5,6,7,9,8,7,9,9,10,10,10,12,12,12,11,10,11,13,13,12,10
Simultaneous Connections 29 11,8,6,6,7,6,5,7,8,9,9,9,11,9,9,12,11,9,9,10,9,10,9,9,9
EVDO RNC 23 AP 221 PO Util,8,8,8,8,8,8,8,8,9,8,8,9,9,9,8,9,9,9,9,9,9,9,8,8
EVDO RNC 23 AP 222 PO Util,11,10,11,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,11
EVDO RNC 23 AP 223 PO Util,9,9,9,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
EVDO RNC 23 AP 224 PO Util,8,8,8,8,8,8,8,8,9,9,9,9,9,8,8,9,9,9,9,9,9,9,8,8
EVDO RNC 23 AP 225 PO Util,10,10,9,9,9,9,10,11,11,11,11,11,11,11,11,11,12,11,12,12,12,12,11,11
EVDO RNC 23 AP 226 PO Util,12,12,11,11,11,11,12,13,13,13,13,13,14,14,14,14,14,15,15,14,15,15,14,13
EVDO RNC 23 AP 227 PO Util,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
EVDO RNC 23 AP 228 PO Util,10,9,9,9,9,9,10,11,11,11,11,11,11,11,11,12,11,12,12,12,11,11,11,10
EVDO RNC 24 AP 231 PO Util,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11
EVDO RNC 24 AP 232 PO Util,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,12,12,12,12,12,12
EVDO RNC 24 AP 233 PO Util,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
EVDO RNC 24 AP 234 PO Util,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6
EVDO RNC 24 AP 235 PO Util,10,10,9,9,9,9,10,11,12,12,12,12,12,13,13,12,13,12,12,12,12,12,11,11
EVDO RNC 24 AP 236 PO Util,8,8,8,7,7,7,8,9,10,10,10,10,10,11,11,11,10,10,10,10,10,10,9,9
EVDO RNC 24 AP 237 PO Util,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,8,8,8,8,7
EVDO RNC 24 AP 238 PO Util,9,8,8,8,8,8,8,9,10,10,10,10,11,11,11,10,11,11,11,11,10,10,10,10
EVDO RNC 25 AP 241 PO Util,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
EVDO RNC 25 AP 242 PO Util,7,7,8,7,7,7,7,7,8,7,7,7,8,8,8,8,8,8,7,8,8,8,8,8
EVDO RNC 25 AP 243 PO Util,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,8,9,8,8,9,8,8
EVDO RNC 25 AP 244 PO Util,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
EVDO RNC 25 AP 245 PO Util,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
EVDO RNC 25 AP 246 PO Util,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
EVDO RNC 25 AP 247 PO Util,8,8,8,8,8,8,8,8,8,8,8,8,9,8,9,9,9,9,9,9,10,9,9,9
EVDO RNC 25 AP 248 PO Util,10,10,9,10,9,10,10,10,10,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11
EVDO RNC 26 AP 251 PO Util,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
EVDO RNC 26 AP 252 PO Util,7,7,8,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
EVDO RNC 26 AP 253 PO Util,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
EVDO RNC 26 AP 254 PO Util,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,8,9,9,8,8
EVDO RNC 26 AP 255 PO Util,10,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,11
EVDO RNC 26 AP 256 PO Util,9,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,9
EVDO Erlangs,1397,1225,1108,1052,1033,1080,1230,1567,1923,2088,2208,2258,2322,2337,2375,2383,2284,2190,2132,2146,2201,2149,1927,1655
EVDO Erlangs Utilization,6,5,5,4,4,4,5,7,8,9,9,9,10,10,10,10,10,9,9,9,9,9,8,7
EVDO Erlangs Capacity,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
EVDO RNC 23 TP 353 PO Util,3,3,3,3,3,3,3,4,5,4,5,5,5,5,5,4,6,6,5,5,6,5,4,4
EVDO RNC 23 TP 354 PO Util,6,3,3,3,2,3,4,5,4,4,4,4,5,5,5,5,4,4,3,5,4,5,6,5
EVDO RNC 23 TP 355 PO Util,3,3,3,2,1,3,3,3,4,4,5,4,4,5,3,4,4,4,4,4,4,5,4,4
EVDO RNC 23 TP 356 PO Util,3,3,2,2,2,2,2,4,3,3,3,4,4,5,4,5,5,8,6,6,5,5,3,4
EVDO RNC 23 TP 357 PO Util,2,3,2,3,3,3,3,3,4,4,4,4,4,4,5,4,5,6,6,5,5,5,4,4
EVDO RNC 23 TP 358 PO Util,5,4,4,3,4,4,6,6,6,6,7,6,7,7,7,6,6,4,4,4,4,4,4,4
EVDO RNC 23 TP 359 PO Util,4,3,3,3,3,2,3,4,4,4,4,4,4,4,4,4,3,5,4,5,4,5,4,4
EVDO RNC 23 TP 360 PO Util,5,3,3,3,3,3,3,4,5,5,5,6,6,7,7,6,6,5,4,5,6,5,4,4
EVDO RNC 23 TP 361 PO Util,4,4,3,3,3,3,4,5,5,5,6,6,6,6,7,8,6,6,6,5,5,6,4,5
EVDO RNC 23 TP 362 PO Util,4,3,3,3,2,3,4,3,4,4,5,5,4,4,4,4,4,5,4,6,5,4,4,4
EVDO RNC 23 TP 363 PO Util,4,4,5,4,4,3,4,6,6,5,5,5,5,5,5,5,6,7,6,5,6,8,6,5
EVDO RNC 23 TP 364 PO Util,3,3,4,3,2,2,2,3,3,4,3,4,4,3,4,3,3,3,4,4,4,5,4,3
EVDO RNC 23 TP 365 PO Util,6,6,5,5,5,4,5,6,9,9,8,7,9,9,9,7,7,6,5,5,5,6,5,5
EVDO RNC 23 TP 366 PO Util,7,3,3,3,2,3,4,3,4,4,5,5,5,6,6,7,6,5,5,5,6,6,6,5
EVDO RNC 23 TP 367 PO Util,3,2,3,3,2,2,2,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3
EVDO RNC 23 TP 368 PO Util,5,4,3,2,2,2,3,2,3,3,3,4,4,3,3,6,6,6,5,7,6,6,5,7
EVDO RNC 24 TP 369 PO Util,8,6,5,4,4,4,4,4,5,5,6,6,5,6,6,6,5,4,5,5,6,6,5,4
EVDO RNC 24 TP 370 PO Util,6,4,3,3,3,4,5,7,7,5,5,5,6,6,7,6,6,7,7,6,6,6,6,5
EVDO RNC 24 TP 371 PO Util,6,5,4,3,3,3,3,4,4,6,6,5,5,6,6,6,7,7,6,8,6,5,5,4
EVDO RNC 24 TP 372 PO Util,5,3,3,2,2,3,3,4,5,4,4,4,5,5,6,6,6,6,5,5,6,4,5,4
EVDO RNC 24 TP 373 PO Util,4,4,3,3,3,3,3,4,4,5,4,6,6,7,7,6,4,5,5,6,5,5,5,4
EVDO RNC 24 TP 374 PO Util,5,5,4,5,5,4,5,6,6,6,7,7,5,6,7,7,5,4,4,4,5,4,5,5
EVDO RNC 24 TP 375 PO Util,4,3,3,2,2,2,3,3,4,4,5,5,6,6,5,5,5,5,6,8,6,6,4,5
EVDO RNC 24 TP 376 PO Util,6,5,4,4,3,3,3,3,4,7,7,6,8,6,5,6,6,5,6,7,8,8,7,7
EVDO RNC 24 TP 377 PO Util,5,4,2,2,2,2,3,3,4,5,4,6,5,5,6,6,4,5,7,7,7,5,5,5
EVDO RNC 24 TP 378 PO Util,5,4,5,6,6,5,6,6,6,5,6,6,7,7,8,9,8,8,7,6,5,7,5,5
EVDO RNC 24 TP 379 PO Util,4,4,3,3,3,3,3,3,5,5,7,8,7,8,8,6,6,5,6,7,6,5,5,6
EVDO RNC 24 TP 380 PO Util,3,4,3,2,2,2,3,4,5,5,6,5,6,7,6,7,5,5,6,7,8,7,8,5
EVDO RNC 24 TP 381 PO Util,5,3,2,2,2,2,2,4,5,5,5,5,5,5,5,6,5,5,6,6,6,7,6,6
EVDO RNC 24 TP 382 PO Util,6,6,6,5,5,5,5,4,5,7,7,7,7,6,7,7,8,5,5,5,6,8,7,5
EVDO RNC 24 TP 383 PO Util,4,3,2,3,3,2,4,6,6,7,7,7,8,8,8,8,7,6,4,5,5,6,4,4
EVDO RNC 24 TP 384 PO Util,8,6,4,4,4,4,4,5,5,6,8,7,7,7,7,7,7,6,7,5,5,6,5,4
EVDO RNC 25 TP 385 PO Util,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,2,3,3,4,3,3
EVDO RNC 25 TP 386 PO Util,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,2,3,3,4,3,3,2,2
EVDO RNC 25 TP 387 PO Util,2,2,3,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3,4,4,4,4,4,3
EVDO RNC 25 TP 388 PO Util,2,2,2,1,1,2,2,2,2,2,3,3,4,5,3,3,3,3,3,4,3,3,3,2
EVDO RNC 25 TP 389 PO Util,2,2,1,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,5,3
EVDO RNC 25 TP 390 PO Util,3,1,1,1,2,1,2,3,3,3,3,3,3,3,3,2,2,3,2,3,2,2,4,3
EVDO RNC 25 TP 391 PO Util,4,5,4,4,4,4,4,3,3,3,3,2,3,2,2,3,3,5,3,3,4,3,3,2
EVDO RNC 25 TP 392 PO Util,2,2,2,1,2,1,3,2,3,3,3,3,4,3,4,4,5,4,4,3,4,4,3,3
EVDO RNC 25 TP 393 PO Util,2,2,2,2,2,2,3,2,2,3,3,4,3,3,3,3,3,3,3,2,4,3,3,3
EVDO RNC 25 TP 394 PO Util,3,4,3,3,2,2,2,2,3,3,3,3,4,4,3,4,4,4,5,6,6,6,5,4
EVDO RNC 25 TP 395 PO Util,3,2,2,1,1,1,2,2,3,3,3,2,3,3,4,4,4,3,3,3,3,4,3,3
EVDO RNC 25 TP 396 PO Util,2,1,2,2,2,2,2,4,3,3,3,3,2,2,3,3,3,3,4,4,4,4,3,2
EVDO RNC 25 TP 397 PO Util,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
EVDO RNC 25 TP 398 PO Util,2,2,1,1,1,2,2,2,3,4,4,3,3,3,4,3,3,2,4,3,3,3,3,2
EVDO RNC 25 TP 399 PO Util,2,2,1,1,1,1,1,2,2,2,3,2,3,3,2,2,2,3,3,3,4,3,3,2
EVDO RNC 25 TP 400 PO Util,3,2,2,2,2,2,2,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,2,2
EVDO RNC 26 TP 401 PO Util,3,2,2,3,3,3,4,3,5,5,4,6,5,6,6,6,5,5,6,6,5,7,6,5
EVDO RNC 26 TP 402 PO Util,4,3,2,2,3,3,3,4,4,4,4,4,4,4,5,4,4,4,5,6,7,6,4,4
EVDO RNC 26 TP 403 PO Util,4,2,3,2,3,2,2,3,3,3,5,6,5,6,5,5,5,4,4,4,5,6,5,5
EVDO RNC 26 TP 404 PO Util,4,4,4,4,3,4,2,3,4,5,5,5,4,5,3,4,6,7,7,5,5,5,4,5
EVDO RNC 26 TP 405 PO Util,7,6,6,5,6,6,6,7,7,7,7,7,7,7,7,7,6,9,9,8,8,7,8,7
EVDO RNC 26 TP 406 PO Util,4,4,3,3,4,3,2,3,4,3,3,4,5,6,6,5,5,5,5,5,4,4,5,4
EVDO RNC 26 TP 407 PO Util,4,3,2,2,2,3,3,4,3,4,5,5,6,5,5,5,4,5,5,7,5,5,5,4
EVDO RNC 26 TP 408 PO Util,4,3,4,4,6,5,4,4,4,4,4,4,4,5,5,4,4,5,5,4,4,4,5,4
EVDO RNC 26 TP 409 PO Util,2,2,2,2,2,2,2,4,4,4,3,3,3,3,4,4,5,4,4,4,3,4,3,3
EVDO RNC 26 TP 410 PO Util,2,2,2,3,3,2,3,3,4,4,4,4,4,5,4,5,5,4,5,5,6,5,4,5
EVDO RNC 26 TP 411 PO Util,3,3,3,2,3,3,3,4,5,5,5,5,5,5,4,5,5,4,5,5,6,5,5,4
EVDO RNC 26 TP 412 PO Util,4,4,4,4,4,4,4,4,5,4,3,3,4,6,7,6,5,5,5,6,7,7,5,4
EVDO RNC 23 TP 353 Throughput,380721,447249,300028,177626,263910,118527,133280,511065,783984,418437,621778,646098,369881,316219,462472,411264,674124,552510,708810,1195764,1050886,871524,502297,700738
EVDO RNC 23 TP 354 Throughput,729162,323297,285599,90423,85608,114124,712597,526682,400630,350604,312837,360562,477664,652271,441017,385193,307689,250888,353473,567148,456985,932550,1099001,927409
EVDO RNC 23 TP 355 Throughput,157655,280017,383546,202497,13917,227023,173372,224403,438368,595077,617579,635183,247604,284388,255720,293068,551574,493069,522219,503388,695899,612166,281806,769913
EVDO RNC 23 TP 356 Throughput,197085,130343,19752,10473,14444,20852,92439,695892,295214,570782,248733,413354,340303,574594,259966,1008005,1422676,2254562,1696658,1686605,982010,1072890,375875,366291
EVDO RNC 23 TP 357 Throughput,50616,390597,31677,300791,189515,224177,211054,427999,280073,522638,293387,388058,515721,363316,623418,486708,745044,849841,1052865,895301,930895,574869,376280,720495
EVDO RNC 23 TP 358 Throughput,895709,666151,658653,697808,675071,655854,1103956,1367662,1182647,1551954,2057045,1520356,1448871,2031029,1731257,1331511,976344,513695,268541,562652,378847,311423,454277,560123
EVDO RNC 23 TP 359 Throughput,828989,295098,752818,207397,215805,50457,360401,720338,339345,341146,497488,404085,544310,442257,397628,339287,231389,958825,487035,804843,718000,897327,482155,277215
EVDO RNC 23 TP 360 Throughput,1457538,621040,498907,107000,61039,143560,304351,488858,859652,702107,597211,757137,719694,1134248,1053198,735338,802101,637072,870833,847467,1104888,520169,431906,735681
