Column1,data_year,STATE,total1,total2,total3,total4,total5,total6,total7,,data_year,total1,total2,total3,total4,total5,total6,total7
2011|Indiana,2011,Indiana,1144049,49970,26487,1720594,3611,19055,28253,,,,,,,,,
2011|Iowa,2011,Iowa,602443,25906,15159,1174311,1647,14629,18787,,,,,,,,,
2011|Kansas,2011,Kansas,376575,21464,15247,793038,2326,10999,13364,,,,,,,,,
2011|Kentucky,2011,Kentucky,937235,27759,18225,1025412,1429,11022,33253,,,,,,,,,
2011|Louisiana,2011,Louisiana,625304,30496,23334,1475900,4072,11512,25820,,,,,,,,,
2011|Maine,2011,Maine,250703,9511,6229,295105,744,4673,8987,,,,,,,,,
2011|Maryland,2011,Maryland,1003735,34497,15404,899221,2588,10836,21074,,,,,,,,,
2011|Massachusetts,2011,Massachusetts,942441,42144,26297,1544183,3657,19620,23300,,,,,,,,,
2011|Michigan,2011,Michigan,1887130,83907,52588,3125656,4768,30784,55900,,,,,,,,,
2011|Minnesota,2011,Minnesota,847217,34626,20459,900698,2396,12455,6313,,,,,,,,,
2011|Mississippi,2011,Mississippi,584470,20296,15258,1088716,5175,7250,22788,,,,,,,,,
2011|Missouri,2011,Missouri,983497,47658,29956,2179660,4589,20910,12793,,,,,,,,,
2011|Montana,2011,Montana,154977,6088,3338,263981,465,3139,2187,,,,,,,,,
2011|Nebraska,2011,Nebraska,305580,13799,8311,493219,895,6001,4057,,,,,,,,,
2011|Nevada,2011,Nevada,359219,14783,10775,781660,1615,7242,15677,,,,,,,,,
2011|New Hampshire,2011,New Hampshire,218384,8690,4878,305224,784,4256,5584,,,,,,,,,
2011|New Jersey,2011,New Jersey,1265597,60936,30364,2224273,4325,23368,33696,,,,,,,,,
2011|New Mexico,2011,New Mexico,372432,13896,9945,670954,1693,6009,10244,,,,,,,,,
2011|New York,2011,New York,2671675,101421,38430,1942663,6412,38017,84443,,,,,,,,,
2011|North Carolina,2011,North Carolina,1450000,52308,36617,2979911,6562,22329,93475,,,,,,,,,
2011|North Dakota,2011,North Dakota,130260,4486,1886,91007,195,1394,537,,,,,,,,,
2011|Ohio,2011,Ohio,1930523,90450,75114,4894792,9193,34599,96096,,,,,,,,,
2011|Oklahoma,2011,Oklahoma,673114,26771,22176,1894463,6948,12925,8327,,,,,,,,,
2011|Oregon,2011,Oregon,685282,22044,22648,1175879,2089,12183,4525,,,,,,,,,
2011|Pennsylvania,2011,Pennsylvania,2126628,83215,64309,3954256,12056,52067,71663,,,,,,,,,
2011|Puerto Rico,2011,Puerto Rico,666400,18312,10675,1333814,3433,6176,924,,,,,,,,,
2011|Rhode Island,2011,Rhode Island,166856,7044,5617,396297,677,3794,14550,,,,,,,,,
2011|South Carolina,2011,South Carolina,984327,34025,32664,2075562,6171,13404,38830,,,,,,,,,
2011|South Dakota,2011,South Dakota,126739,5911,2269,151064,327,1594,1143,,,,,,,,,
2011|Tennessee,2011,Tennessee,1043617,48277,30382,1298288,3801,18991,34120,,,,,,,,,
2011|Texas,2011,Texas,3060669,136993,90338,7001026,17769,52543,113207,,,,,,,,,
2011|Utah,2011,Utah,294117,9110,11217,970218,2490,6536,5120,,,,,,,,,
2011|Vermont,2011,Vermont,110529,4431,2101,76798,237,1115,1435,,,,,,,,,
2011|Virginia,2011,Virginia,993945,43544,27226,1718440,4619,16972,13207,,,,,,,,,
2011|Washington,2011,Washington,1147952,33238,18729,1428903,3134,15560,19706,,,,,,,,,
2011|West Virginia,2011,West Virginia,428651,13823,9215,556194,1116,5398,9698,,,,,,,,,
2011|Wisconsin,2011,Wisconsin,1123381,33288,28634,1648776,2621,17017,19129,,,,,,,,,
2011|Wyoming,2011,Wyoming,83515,2948,1602,61076,195,968,935,,,,,,,,,
2012|Alabama,2012,Alabama,845064,37188,34642,2566575,5913,18484,22588,,,,,,,,,
2012|Alaska,2012,Alaska,55554,2190,734,31751,102,394,175,,,,,,,,,
2012|Arizona,2012,Arizona,933715,45819,42401,3416865,6358,19383,84790,,,,,,,,,
2012|Arkansas,2012,Arkansas,646525,21149,16933,893848,2107,11913,28571,,,,,,,,,
2012|California,2012,California,6267017,201116,109380,7403740,20010,65273,50796,,,,,,,,,
2012|Colorado,2012,Colorado,863808,30534,16774,1193264,2809,11863,23463,,,,,,,,,
2012|Connecticut,2012,Connecticut,745224,25650,13270,536766,1436,11362,30779,,,,,,,,,
2012|Delaware,2012,Delaware,151658,6568,5507,352998,1145,3517,7412,,,,,,,,,
2012|District of Columbia,2012,District of Columbia,82467,3447,2167,96795,470,874,1319,,,,,,,,,
2012|Florida,2012,Florida,3958938,139569,105068,8376261,18959,62856,288444,,,,,,,,,
2012|Georgia,2012,Georgia,1243485,56939,51296,3067201,7368,26462,75126,,,,,,,,,
2012|Hawaii,2012,Hawaii,236166,9573,4238,222676,509,2655,1119,,,,,,,,,
2012|Idaho,2012,Idaho,246491,10445,7578,689600,1160,5000,2921,,,,,,,,,
2012|Illinois,2012,Illinois,1744797,89837,39331,2948637,5628,38815,46179,,,,,,,,,
2012|Indiana,2012,Indiana,1090544,39650,24333,1431781,4099,20568,23635,,,,,,,,,
2012|Iowa,2012,Iowa,537880,25788,16141,1269677,2376,12786,15790,,,,,,,,,
2012|Kansas,2012,Kansas,412343,23498,16540,800476,2230,10662,10581,,,,,,,,,
2012|Kentucky,2012,Kentucky,775863,38342,16353,776551,1504,13640,39180,,,,,,,,,
2012|Louisiana,2012,Louisiana,837797,37556,23809,2002024,3422,15377,28455,,,,,,,,,
2012|Maine,2012,Maine,282028,12009,6467,443174,880,4989,10350,,,,,,,,,
2012|Maryland,2012,Maryland,937170,34527,17608,1244493,2131,14823,27714,,,,,,,,,
2012|Massachusetts,2012,Massachusetts,1053946,47211,30011,1892738,4145,19679,20156,,,,,,,,,
2012|Michigan,2012,Michigan,1785464,61245,52013,3718441,5010,40218,47150,,,,,,,,,
2012|Minnesota,2012,Minnesota,842783,26361,23671,1313220,2480,14022,6631,,,,,,,,,
2012|Mississippi,2012,Mississippi,645636,22418,16884,1676427,5868,8080,23401,,,,,,,,,
2012|Missouri,2012,Missouri,1211262,41340,36601,1968921,4932,17895,14705,,,,,,,,,
2012|Montana,2012,Montana,213233,6210,4097,247547,630,2480,2265,,,,,,,,,
2012|Nebraska,2012,Nebraska,292184,10542,8898,514351,824,5088,3810,,,,,,,,,
2012|Nevada,2012,Nevada,490639,16523,10814,946740,2071,8451,19922,,,,,,,,,
2012|New Hampshire,2012,New Hampshire,297361,7674,4719,361870,777,4387,7957,,,,,,,,,
2012|New Jersey,2012,New Jersey,1412909,54918,40815,2009722,4406,19368,36181,,,,,,,,,
2012|New Mexico,2012,New Mexico,284613,12955,10153,655016,1319,5238,8616,,,,,,,,,
2012|New York,2012,New York,3787572,125226,46097,2374547,5619,39272,99850,,,,,,,,,
2012|North Carolina,2012,North Carolina,1735356,74008,49511,2316172,7930,24191,94299,,,,,,,,,
2012|North Dakota,2012,North Dakota,124430,5351,1729,106138,247,1289,448,,,,,,,,,
2012|Ohio,2012,Ohio,2030402,101770,69996,3720364,7747,38013,93026,,,,,,,,,
2012|Oklahoma,2012,Oklahoma,780178,29683,21065,1765095,4165,13471,9568,,,,,,,,,
2012|Oregon,2012,Oregon,718228,27824,17775,1268417,2670,14976,5955,,,,,,,,,
2012|Pennsylvania,2012,Pennsylvania,2469151,108536,64667,4598940,13077,47621,68069,,,,,,,,,
2012|Puerto Rico,2012,Puerto Rico,697311,23770,10719,1060316,3871,4623,1663,,,,,,,,,
2012|Rhode Island,2012,Rhode Island,193976,6950,6434,403068,671,3329,12327,,,,,,,,,
2012|South Carolina,2012,South Carolina,993812,37299,24829,1996688,5892,15423,39328,,,,,,,,,
2012|South Dakota,2012,South Dakota,154189,5166,2809,136640,415,2274,1330,,,,,,,,,
2012|Tennessee,2012,Tennessee,1273313,47726,25657,1732904,3530,15577,30642,,,,,,,,,
2012|Texas,2012,Texas,4106072,140683,89363,7020666,13523,55232,110323,,,,,,,,,
2012|Utah,2012,Utah,364790,12953,12404,1036349,2143,6379,5017,,,,,,,,,
2012|Vermont,2012,Vermont,136615,4329,2058,114550,287,1335,2341,,,,,,,,,
2012|Virginia,2012,Virginia,1394557,42848,26177,1694129,5044,17526,20782,,,,,,,,,
2012|Washington,2012,Washington,1041997,36558,20321,1475546,2865,17276,21357,,,,,,,,,
2012|West Virginia,2012,West Virginia,335352,20712,10938,722053,1171,7138,15378,,,,,,,,,
2012|Wisconsin,2012,Wisconsin,961364,36226,24765,1722331,2499,16672,26689,,,,,,,,,
2012|Wyoming,2012,Wyoming,77339,3771,1192,60169,171,990,852,,,,,,,,,
2013|Alabama,2013,Alabama,820268,46792,27374,2386327,6364,15740,18071,,,,,,,,,
2013|Alaska,2013,Alaska,58445,1827,792,36390,101,589,242,,,,,,,,,
2013|Arizona,2013,Arizona,1163249,42369,39460,2245406,7829,25767,71610,,,,,,,,,
2013|Arkansas,2013,Arkansas,510652,24038,17937,829785,1592,8585,25377,,,,,,,,,
2013|California,2013,California,5649267,222376,140620,9055591,16980,95237,44106,,,,,,,,,
2013|Colorado,2013,Colorado,777675,28461,20901,1139636,3041,10911,24423,,,,,,,,,
2013|Connecticut,2013,Connecticut,521760,21048,14636,673824,1569,11039,35970,,,,,,,,,
2013|Delaware,2013,Delaware,160282,6413,5258,304541,955,3460,9832,,,,,,,,,
2013|District of Columbia,2013,District of Columbia,98970,4143,1926,115535,456,1098,1317,,,,,,,,,
2013|Florida,2013,Florida,3402780,173465,109511,7189413,17078,85770,286219,,,,,,,,,
2013|Georgia,2013,Georgia,1767260,68643,40315,4148585,8144,30607,74701,,,,,,,,,
2013|Hawaii,2013,Hawaii,229082,7925,5201,249397,628,2788,1236,,,,,,,,,
2013|Idaho,2013,Idaho,323762,8247,9313,740602,1335,3919,2662,,,,,,,,,
2013|Illinois,2013,Illinois,1831321,90986,43976,3363390,5351,40938,44655,,,,,,,,,
2013|Indiana,2013,Indiana,1206023,57693,34075,1733774,3231,22685,33003,,,,,,,,,
2013|Iowa,2013,Iowa,553214,26802,17601,799285,2414,11845,14782,,,,,,,,,
2013|Kansas,2013,Kansas,569882,17489,17058,874345,2415,10451,12095,,,,,,,,,
2013|Kentucky,2013,Kentucky,938669,29561,14960,1106321,2192,10586,31826,,,,,,,,,
2013|Louisiana,2013,Louisiana,920029,38661,23038,1383502,3196,12328,23907,,,,,,,,,
2013|Maine,2013,Maine,338509,13400,7710,324366,749,4853,8645,,,,,,,,,
2013|Maryland,2013,Maryland,997900,32037,23697,1180505,2315,15068,27714,,,,,,,,,
2013|Massachusetts,2013,Massachusetts,1045658,38071,27012,1664204,3560,15819,24401,,,,,,,,,
2013|Michigan,2013,Michigan,1834816,85265,45546,2919224,7323,33143,42594,,,,,,,,,
2013|Minnesota,2013,Minnesota,847691,37853,20642,1315511,2700,13861,4831,,,,,,,,,
2013|Mississippi,2013,Mississippi,486618,20894,15309,1524091,4541,8388,21489,,,,,,,,,
2013|Missouri,2013,Missouri,976757,51077,35600,2510739,5101,19810,14590,,,,,,,,,
2013|Montana,2013,Montana,214399,6534,4097,275813,477,3180,2468,,,,,,,,,
2013|Nebraska,2013,Nebraska,367553,12580,8279,578907,990,6183,3506,,,,,,,,,
2013|Nevada,2013,Nevada,398760,17103,12226,1054853,2350,6894,18172,,,,,,,,,
2013|New Hampshire,2013,New Hampshire,231279,10668,5918,318724,695,3911,8026,,,,,,,,,
2013|New Jersey,2013,New Jersey,1394400,58384,41749,2014816,5617,28400,28204,,,,,,,,,
2013|New Mexico,2013,New Mexico,359916,15176,10687,679400,1573,6003,9346,,,,,,,,,
2013|New York,2013,New York,3182809,145792,54319,2236151,7060,32566,73233,,,,,,,,,
2013|North Carolina,2013,North Carolina,1496307,80326,36807,2920440,7309,31796,86286,,,,,,,,,
2013|North Dakota,2013,North Dakota,133980,4803,1761,107994,236,1324,357,,,,,,,,,
2013|Ohio,2013,Ohio,1736982,89845,55746,5007984,7643,43603,116143,,,,,,,,,
2013|Oklahoma,2013,Oklahoma,551036,32296,18495,1531869,3663,15844,11752,,,,,,,,,
2013|Oregon,2013,Oregon,671548,22447,22482,967046,2566,17675,6532,,,,,,,,,
2013|Pennsylvania,2013,Pennsylvania,2095443,104227,71894,3735477,9756,47047,67137,,,,,,,,,
2013|Puerto Rico,2013,Puerto Rico,794588,24883,13896,1297768,3328,5537,1381,,,,,,,,,
2013|Rhode Island,2013,Rhode Island,240776,7352,5460,329610,813,4731,8355,,,,,,,,,
2013|South Carolina,2013,South Carolina,774034,28753,25896,2761356,8351,18345,44648,,,,,,,,,
2013|South Dakota,2013,South Dakota,174601,6878,2887,118128,331,1667,1648,,,,,,,,,
2013|Tennessee,2013,Tennessee,1048334,60411,29728,1939283,2950,22042,28886,,,,,,,,,
2013|Texas,2013,Texas,2942177,110496,110051,7822151,16350,59274,93782,,,,,,,,,
2013|Utah,2013,Utah,334351,12102,9657,827042,2177,6298,4574,,,,,,,,,
2013|Vermont,2013,Vermont,133803,4179,1719,101147,259,1709,2217,,,,,,,,,
2013|Virginia,2013,Virginia,1488782,43924,33853,1683995,4926,20119,16722,,,,,,,,,
2013|Washington,2013,Washington,1311144,44211,27114,1205877,3691,16433,14354,,,,,,,,,
2013|West Virginia,2013,West Virginia,414091,14227,11633,559043,1050,7385,15561,,,,,,,,,
2013|Wisconsin,2013,Wisconsin,1213387,36807,28926,2156587,3363,23501,26786,,,,,,,,,
2013|Wyoming,2013,Wyoming,86270,3370,1564,62028,151,1126,945,,,,,,,,,
