CMTS Type:,acr,Version:,8.45,,OTN/Hub Name:,A1Atlanta (GA),,Cities Served:,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,downloaded 8.45
# of Nodes:,104,Submitted date:,01/18/2015,,Facility DNS:,A1atlanta.ga,,Opt Tran:,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total HHP:,5031,Implementation Date:,01/19/2015,,CLLI Code:,ATLAGA31,,Opt Rec:,101,,MULTI-CONFIG:,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator City,State,Fiber Node,Corp ID (DST) or Sys Prin (CSG) or SysPrinAgent (CSG),GL,Virtual Node Indicator,Old Node ID (If Applicable),Homes Passed,Optical Transmitter,Optical Receiver,Service Delivery Type,Unit ID (DNS),Unit ID - IP,MAC Domain,Downstream Slot,Downstream Physical Port,I-CMTS Logical Downstream Port,Downstream Freq. (MHz),Downstream Modulation (64 or 256QAM),EDGE QAM Name,EDGE QAM IP,Modular RF Channel ID,EDGE QAM Input Port,EDGE QAM Output Slot,EDGE QAM Output Port,EDGE QAM Output Port Channel,Upstream Slot,Logical Upstream Port,Physical Upstream Port,Upstream Freq. (Mhz),Upstream Channel Width (MHz),"Upstream Modulation (8,16,32,64, 128QAM or QPSK)",Multiplexing Technique,Serving Group,NCP Changes (previous serving groups or notes),Modem Count,Node Group,Downstream Plant,OM-1000 Name,NC-1500 Name,EMM Multicast IP,SI Multicast IP,DSG RADD Name,DSG RADD Device IP,OM-1000 Device IP,SCTE-18 EAS Name,SCTE-18 EAS Encoder IP,SCTE-18 EAS Model,SCTE-18 EAS Multicast IP,SCTE-65 Multicast IP,XAIT Multicast IP,XAIT Device IP,SA (CA) Multicast IP,SA DNCS DBDS Interface IP,VOD Server Group,FFOArea,PlantOps,TechOps,HeadEndOps,MTA Count,MARKET DEFINED 1,MARKET DEFINED 2,MARKET DEFINED 3,MARKET DEFINED 4,MARKET DEFINED 5
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,85,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1073,82201800,000570,TBD,,0,82,21C,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,35,8,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",13,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-8/2/15/3/13/6,,197,35,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,69,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,197,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1080,82201800,000570,TBD,,0,41,22A,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,1,12,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"0,1,2",0,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-12/0/15/1/0/2,,277,1,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,45,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,277,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1090,82201800,000570,TBD,,0,58,14D,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,40,8,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",22,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-8/7/15/3/22/6,,213,40,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,100,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,213,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1091,82201800,000570,TBD,,0,16,6A,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,17,10,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",0,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/0/15/2/0/2,,98,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,36,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,98,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1095,82201800,000570,TBD,,0,43,4D,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,7,12,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"0,1,2",6,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-12/6/15/1/6/2,,510,7,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,223,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,510,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1099,82201800,000570,TBD,,0,5,2A,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,29,9,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",0,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/4/15/3/0/2,,228,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,85,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,228,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1101,82201800,000570,TBD,,0,84,21D,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,2,12,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",1,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-12/1/15/1/1/6,,402,2,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,156,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,402,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1103,82201800,000570,TBD,,0,92,28,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,21,10,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",9,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/4/15/2/9/2,,153,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,47,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,153,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1104,82201800,000570,TBD,,0,93,29,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,20,10,3,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",6,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/3/15/2/6/2,,197,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,46,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,197,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1105,82201800,000570,TBD,,0,85,22C,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,38,8,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",18,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-8/5/15/3/18/2,,329,38,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,79,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,329,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1106,82201800,000570,TBD,,0,86,22B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,20,10,3,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",7,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/3/15/2/7/6,,81,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,35,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,81,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1109,82201800,000570,TBD,,0,87,23,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,8,12,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",7,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-12/7/15/1/7/6,,440,8,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,152,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,440,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1114,82201800,000570,TBD,,0,99,35,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,39,8,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"8,9,10",20,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-8/6/15/3/20/10,,54,39,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,16,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,54,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1115A,82201800,000570,TBD,,0,103,103,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,24,10,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",15,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/7/15/2/15/2,,155,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,49,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,155,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1115B,82201800,000570,TBD,,0,104,104,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,25,9,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",17,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/0/15/2/17/10,,144,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,43,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,144,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1116A,82201800,000570,TBD,,0,107,107,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,27,9,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",21,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/2/15/2/21/2,,63,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,24,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,63,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1116B,82201800,000570,TBD,,0,108,108,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,28,9,3,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",23,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/3/15/2/23/10,,75,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,38,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,75,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1120,82201800,000570,TBD,,234,120,120,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,17,10,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",1,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/0/15/2/1/6,,0,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,36,
Total Node,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Total acr01.a1atlanta.ga.atlanta.comcast.net,,,,,,,4288,,,,,,,,,,,,,,,,,,,,,,,,Total acr01.a1atlanta.ga.atlanta.comcast.net,,,,13371,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1001,82201800,000570,TBD,,0,74,19A,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,4,12,3,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"0,1,2",6,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-12/3/15/1/6/2,,242,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,136,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,242,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1002,82201800,000570,TBD,,0,75,19C,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,30,9,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"8,9,10",11,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/5/15/3/11/10,,15,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,12,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,15,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1003,82201800,000570,TBD,,0,35,8A,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,5,12,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"8,9,10",8,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-12/4/15/1/8/10,,293,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,154,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,293,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1005A,82201800,000570,TBD,,0,31,1B,PacketCable,acr02.a1atlanta.ga.atlanta.comcast.net,68.85.11.96,26,9,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",3,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr02.a1atlanta.ga.atlanta.comcast.net-9/1/15/3/3/2,,186,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,111,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,186,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
