Bundespräsidentenwahl  25. April 2010,,,,,,, Stand: , 30/04/10 18:40:45,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Nr.,Name,Wahlbe-, abgegeb. , Wahlbet. , ungültige ,, gültige ,,Dr. Fischer,,Dr. Gehring,, Rosenkranz ,, P 4 ,, P 5 ,, P 6 ,, erste Eingabe ,, letzte Eingabe ,
41010,Kirchberg-Thening             ,"1,893"," 1,210 ", 63.92 , 62 , 5.12 ," 1,148 ", 94.88 , 947 , 82.49 , 36 , 3.14 , 165 , 14.37 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:11:21,25/04/2010,15:11:21
41011,Kronstorf                     ,"2,459"," 1,430 ", 58.15 , 137 , 9.58 ," 1,293 ", 90.42 ," 1,013 ", 78.34 , 49 , 3.79 , 231 , 17.87 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:16:37,25/04/2010,16:16:37
41012,Leonding                      ,"19,202"," 10,409 ", 54.21 , 674 , 6.48 ," 9,735 ", 93.52 ," 7,926 ", 81.42 , 401 , 4.12 ," 1,408 ", 14.46 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:17:00,25/04/2010,17:17:00
41013,St.Florian                    ,"4,825"," 2,797 ", 57.97 , 248 , 8.87 ," 2,549 ", 91.13 ," 2,107 ", 82.66 , 155 , 6.08 , 287 , 11.26 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:05:30,25/04/2010,16:05:30
41014,Neuhofen an der Krems         ,"4,439"," 2,211 ", 49.81 , 137 , 6.20 ," 2,074 ", 93.80 ," 1,688 ", 81.39 , 118 , 5.69 , 268 , 12.92 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:59:37,25/04/2010,15:59:37
41015,Niederneukirchen              ,"1,553", 887 , 57.12 , 92 , 10.37 , 795 , 89.63 , 645 , 81.13 , 53 , 6.67 , 97 , 12.20 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:15:41,25/04/2010,15:15:41
41016,Oftering                      ,"1,567", 912 , 58.20 , 60 , 6.58 , 852 , 93.42 , 682 , 80.05 , 44 , 5.16 , 126 , 14.79 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:21:33,25/04/2010,15:21:33
41017,Pasching                      ,"5,081"," 2,734 ", 53.81 , 162 , 5.93 ," 2,572 ", 94.07 ," 2,059 ", 80.05 , 89 , 3.46 , 424 , 16.49 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:02:03,25/04/2010,16:02:03
41018,Piberbach                     ,"1,458", 780 , 53.50 , 49 , 6.28 , 731 , 93.72 , 554 , 75.79 , 63 , 8.62 , 114 , 15.60 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:35:07,25/04/2010,14:35:07
41019,Pucking                       ,"2,945"," 1,659 ", 56.33 , 105 , 6.33 ," 1,554 ", 93.67 ," 1,193 ", 76.77 , 52 , 3.35 , 309 , 19.88 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:19:40,25/04/2010,15:19:40
41020,St.Marien                     ,"3,696"," 2,261 ", 61.17 , 182 , 8.05 ," 2,079 ", 91.95 ," 1,676 ", 80.62 , 163 , 7.84 , 240 , 11.54 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:00:48,25/04/2010,14:00:48
41021,Traun                         ,"16,754"," 8,417 ", 50.24 , 455 , 5.41 ," 7,962 ", 94.59 ," 6,180 ", 77.62 , 264 , 3.32 ," 1,518 ", 19.07 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:05:07,25/04/2010,17:05:07
41022,Wilhering                     ,"4,489"," 2,672 ", 59.52 , 195 , 7.30 ," 2,477 ", 92.70 ," 2,072 ", 83.65 , 124 , 5.01 , 281 , 11.34 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:25:44,25/04/2010,14:25:44
41099,Wahlkarten Linz-Land                     ,0," 4,651 ", 0 , 283 , 6.08 ," 4,368 ", 93.92 ," 3,732 ", 85.44 , 169 , 3.87 , 467 , 10.69 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,18:40:45,30/04/2010,18:40:45
41100,Bezirk Perg                          ,"51,540"," 32,633 ", 63.32 ," 2,409 ", 7.38 ," 30,224 ", 92.62 ," 24,909 ", 82.41 ," 1,742 ", 5.76 ," 3,573 ", 11.82 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:19:42,30/04/2010,17:07:56
41101,Allerheiligen im Mühlkreis    ,949, 540 , 56.90 , 46 , 8.52 , 494 , 91.48 , 417 , 84.41 , 27 , 5.47 , 50 , 10.12 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:46:36,25/04/2010,13:46:36
41102,Arbing                        ,"1,121", 720 , 64.23 , 59 , 8.19 , 661 , 91.81 , 568 , 85.93 , 35 , 5.30 , 58 , 8.77 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:39:18,25/04/2010,14:39:18
41103,Baumgartenberg                ,"1,262", 713 , 56.50 , 63 , 8.84 , 650 , 91.16 , 490 , 75.38 , 31 , 4.77 , 129 , 19.85 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:10:27,25/04/2010,15:10:27
41104,Dimbach                       ,844, 536 , 63.51 , 63 , 11.75 , 473 , 88.25 , 385 , 81.40 , 45 , 9.51 , 43 , 9.09 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:48:55,25/04/2010,12:48:55
41105,Grein                         ,"2,445"," 1,405 ", 57.46 , 94 , 6.69 ," 1,311 ", 93.31 ," 1,040 ", 79.33 , 103 , 7.86 , 168 , 12.81 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:38:34,25/04/2010,14:38:34
41106,Katsdorf                      ,"2,265"," 1,389 ", 61.32 , 90 , 6.48 ," 1,299 ", 93.52 ," 1,085 ", 83.53 , 76 , 5.85 , 138 , 10.62 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:01:48,25/04/2010,17:09:22
41107,Klam                          ,712, 359 , 50.42 , 18 , 5.01 , 341 , 94.99 , 260 , 76.25 , 21 , 6.16 , 60 , 17.60 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:04:28,25/04/2010,13:04:28
41108,Bad Kreuzen                   ,"1,789", 965 , 53.94 , 83 , 8.60 , 882 , 91.40 , 702 , 79.59 , 77 , 8.73 , 103 , 11.68 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:34:44,25/04/2010,13:34:44
41109,Langenstein                   ,"1,985"," 1,189 ", 59.90 , 73 , 6.14 ," 1,116 ", 93.86 , 950 , 85.13 , 27 , 2.42 , 139 , 12.46 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:49:00,25/04/2010,15:49:00
41110,Luftenberg an der Donau       ,"3,140"," 1,845 ", 58.76 , 104 , 5.64 ," 1,741 ", 94.36 ," 1,443 ", 82.88 , 60 , 3.45 , 238 , 13.67 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:45:18,25/04/2010,14:45:18
41111,Mauthausen                    ,"3,690"," 2,236 ", 60.60 , 133 , 5.95 ," 2,103 ", 94.05 ," 1,765 ", 83.93 , 67 , 3.19 , 271 , 12.89 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:40:01,25/04/2010,16:40:01
41112,Mitterkirchen im Machland     ,"1,363", 753 , 55.25 , 72 , 9.56 , 681 , 90.44 , 553 , 81.20 , 47 , 6.90 , 81 , 11.89 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:19:42,26/04/2010,07:32:32
41113,Münzbach                      ,"1,337", 762 , 56.99 , 72 , 9.45 , 690 , 90.55 , 569 , 82.46 , 52 , 7.54 , 69 , 10.00 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:59:20,25/04/2010,13:59:20
41114,Naarn im Machlande            ,"2,732"," 1,543 ", 56.48 , 128 , 8.30 ," 1,415 ", 91.70 ," 1,162 ", 82.12 , 86 , 6.08 , 167 , 11.80 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:01:14,25/04/2010,14:01:14
41115,Pabneukirchen                 ,"1,353", 715 , 52.85 , 61 , 8.53 , 654 , 91.47 , 534 , 81.65 , 48 , 7.34 , 72 , 11.01 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:59:09,25/04/2010,12:59:09
41116,Perg                          ,"5,868"," 3,431 ", 58.47 , 230 , 6.70 ," 3,201 ", 93.30 ," 2,610 ", 81.54 , 160 , 5.00 , 431 , 13.46 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:09:38,25/04/2010,16:09:38
41117,Rechberg                      ,722, 467 , 64.68 , 48 , 10.28 , 419 , 89.72 , 352 , 84.01 , 49 , 11.69 , 18 , 4.30 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:34:01,25/04/2010,12:34:01
41118,Ried in der Riedmark          ,"3,259"," 2,049 ", 62.87 , 147 , 7.17 ," 1,902 ", 92.83 ," 1,597 ", 83.96 , 132 , 6.94 , 173 , 9.10 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:32:50,25/04/2010,16:32:50
41119,St.Georgen am Walde           ,"1,722", 977 , 56.74 , 76 , 7.78 , 901 , 92.22 , 743 , 82.46 , 64 , 7.10 , 94 , 10.43 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:19:04,25/04/2010,13:19:04
41120,St.Georgen an der Gusen       ,"2,964"," 1,955 ", 65.96 , 126 , 6.45 ," 1,829 ", 93.55 ," 1,546 ", 84.53 , 78 , 4.26 , 205 , 11.21 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:19:21,25/04/2010,16:19:21
41121,St.Nikola an der Donau        ,580, 388 , 66.90 , 34 , 8.76 , 354 , 91.24 , 280 , 79.10 , 23 , 6.50 , 51 , 14.41 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:07:30,25/04/2010,13:07:30
41122,St.Thomas am Blasenstein      ,708, 433 , 61.16 , 61 , 14.09 , 372 , 85.91 , 295 , 79.30 , 41 , 11.02 , 36 , 9.68 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:30:41,25/04/2010,12:30:41
41123,Saxen                         ,"1,366", 826 , 60.47 , 63 , 7.63 , 763 , 92.37 , 556 , 72.87 , 45 , 5.90 , 162 , 21.23 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:44:07,25/04/2010,13:44:07
41124,Schwertberg                   ,"3,977"," 2,222 ", 55.87 , 146 , 6.57 ," 2,076 ", 93.43 ," 1,740 ", 83.82 , 84 , 4.05 , 252 , 12.14 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:52:19,25/04/2010,15:52:19
41125,Waldhausen im Strudengau      ,"2,297"," 1,351 ", 58.82 , 106 , 7.85 ," 1,245 ", 92.15 ," 1,025 ", 82.33 , 95 , 7.63 , 125 , 10.04 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:15:54,25/04/2010,16:15:54
41126,Windhaag bei Perg             ,"1,090", 651 , 59.72 , 58 , 8.91 , 593 , 91.09 , 467 , 78.75 , 63 , 10.62 , 63 , 10.62 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:00:04,25/04/2010,15:00:04
41199,Wahlkarten Perg                          ,0," 2,213 ", 0 , 155 , 7.00 ," 2,058 ", 93.00 ," 1,775 ", 86.25 , 106 , 5.15 , 177 , 8.60 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,17:07:56,30/04/2010,17:07:56
41200,Bezirk Ried im Innkreis              ,"46,011"," 23,808 ", 51.74 ," 1,768 ", 7.43 ," 22,040 ", 92.57 ," 16,385 ", 74.34 ," 1,541 ", 6.99 ," 4,114 ", 18.67 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:49:37,30/04/2010,15:58:30
41201,Andrichsfurt                  ,559, 250 , 44.72 , 20 , 8.00 , 230 , 92.00 , 141 , 61.30 , 22 , 9.57 , 67 , 29.13 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:24:01,25/04/2010,12:24:01
41202,Antiesenhofen                 ,815, 378 , 46.38 , 24 , 6.35 , 354 , 93.65 , 290 , 81.92 , 8 , 2.26 , 56 , 15.82 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:38:54,25/04/2010,12:38:54
41203,Aurolzmünster                 ,"2,314", 995 , 43.00 , 70 , 7.04 , 925 , 92.96 , 652 , 70.49 , 67 , 7.24 , 206 , 22.27 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:59:41,25/04/2010,13:59:41
41204,Eberschwang                   ,"2,685"," 1,307 ", 48.68 , 80 , 6.12 ," 1,227 ", 93.88 , 926 , 75.47 , 85 , 6.93 , 216 , 17.60 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:09:51,25/04/2010,15:09:51
41205,Eitzing                       ,576, 284 , 49.31 , 32 , 11.27 , 252 , 88.73 , 188 , 74.60 , 21 , 8.33 , 43 , 17.06 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:43:55,25/04/2010,12:43:55
41206,Geiersberg                    ,443, 232 , 52.37 , 16 , 6.90 , 216 , 93.10 , 166 , 76.85 , 16 , 7.41 , 34 , 15.74 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:14:25,25/04/2010,13:14:25
41207,Geinberg                      ,"1,065", 528 , 49.58 , 50 , 9.47 , 478 , 90.53 , 327 , 68.41 , 29 , 6.07 , 122 , 25.52 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:59:27,25/04/2010,13:05:43
41208,Gurten                        ,915, 473 , 51.69 , 28 , 5.92 , 445 , 94.08 , 326 , 73.26 , 38 , 8.54 , 81 , 18.20 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:48:47,25/04/2010,12:48:47
41209,Hohenzell                     ,"1,634", 826 , 50.55 , 71 , 8.60 , 755 , 91.40 , 546 , 72.32 , 101 , 13.38 , 108 , 14.30 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:39:19,25/04/2010,13:39:19
41210,Kirchdorf am Inn              ,470, 266 , 56.60 , 27 , 10.15 , 239 , 89.85 , 188 , 78.66 , 12 , 5.02 , 39 , 16.32 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:44:00,25/04/2010,12:44:00
41211,Kirchheim im Innkreis         ,551, 282 , 51.18 , 18 , 6.38 , 264 , 93.62 , 196 , 74.24 , 16 , 6.06 , 52 , 19.70 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:39:41,25/04/2010,12:39:41
41212,Lambrechten                   ,"1,048", 459 , 43.80 , 44 , 9.59 , 415 , 90.41 , 302 , 72.77 , 44 , 10.60 , 69 , 16.63 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:39:47,25/04/2010,12:39:47
41213,Lohnsburg am Kobernaußerwald  ,"1,832", 799 , 43.61 , 69 , 8.64 , 730 , 91.36 , 539 , 73.84 , 54 , 7.40 , 137 , 18.77 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:39:59,25/04/2010,12:40:11
41214,Mehrnbach                     ,"1,907", 855 , 44.83 , 68 , 7.95 , 787 , 92.05 , 528 , 67.09 , 70 , 8.89 , 189 , 24.02 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:15:36,25/04/2010,13:15:36
41215,Mettmach                      ,"2,007", 868 , 43.25 , 63 , 7.26 , 805 , 92.74 , 555 , 68.94 , 50 , 6.21 , 200 , 24.84 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:54:34,25/04/2010,13:54:34
41216,Mörschwang                    ,243, 127 , 52.26 , 24 , 18.90 , 103 , 81.10 , 84 , 81.55 , 8 , 7.77 , 11 , 10.68 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,11:26:11,25/04/2010,11:26:11
41217,Mühlheim am Inn               ,516, 268 , 51.94 , 8 , 2.99 , 260 , 97.01 , 176 , 67.69 , 26 , 10.00 , 58 , 22.31 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:48:53,25/04/2010,12:48:53
41218,Neuhofen im Innkreis          ,"1,782", 954 , 53.54 , 59 , 6.18 , 895 , 93.82 , 712 , 79.55 , 55 , 6.15 , 128 , 14.30 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:21:06,25/04/2010,14:21:06
41219,Obernberg am Inn              ,"1,177", 481 , 40.87 , 22 , 4.57 , 459 , 95.43 , 339 , 73.86 , 13 , 2.83 , 107 , 23.31 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:34:02,25/04/2010,14:34:02
41220,Ort im Innkreis               ,915, 431 , 47.10 , 25 , 5.80 , 406 , 94.20 , 283 , 69.70 , 23 , 5.67 , 100 , 24.63 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:39:44,25/04/2010,15:53:17
41221,Pattigham                     ,726, 360 , 49.59 , 43 , 11.94 , 317 , 88.06 , 221 , 69.72 , 28 , 8.83 , 68 , 21.45 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:40:04,25/04/2010,12:40:04
41222,Peterskirchen                 ,572, 287 , 50.17 , 36 , 12.54 , 251 , 87.46 , 169 , 67.33 , 34 , 13.55 , 48 , 19.12 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:39:57,25/04/2010,13:39:57
41223,Pramet                        ,811, 400 , 49.32 , 30 , 7.50 , 370 , 92.50 , 270 , 72.97 , 25 , 6.76 , 75 , 20.27 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:40:10,25/04/2010,12:40:10
41224,Reichersberg                  ,"1,099", 556 , 50.59 , 43 , 7.73 , 513 , 92.27 , 392 , 76.41 , 19 , 3.70 , 102 , 19.88 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:24:07,25/04/2010,12:24:07
41225,Ried im Innkreis              ,"8,484"," 3,979 ", 46.90 , 240 , 6.03 ," 3,739 ", 93.97 ," 2,825 ", 75.55 , 206 , 5.51 , 708 , 18.94 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:49:37,25/04/2010,16:49:37
41226,St.Georgen b. Obernberg am Inn,471, 262 , 55.63 , 21 , 8.02 , 241 , 91.98 , 205 , 85.06 , 17 , 7.05 , 19 , 7.88 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:06:06,25/04/2010,12:06:06
41227,St.Marienkirchen am Hausruck  ,624, 368 , 58.97 , 48 , 13.04 , 320 , 86.96 , 205 , 64.06 , 51 , 15.94 , 64 , 20.00 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:24:28,25/04/2010,13:31:58
41228,St.Martin im Innkreis         ,"1,293", 589 , 45.55 , 41 , 6.96 , 548 , 93.04 , 404 , 73.72 , 29 , 5.29 , 115 , 20.99 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:25:56,25/04/2010,14:25:56
41229,Schildorn                     ,891, 365 , 40.97 , 30 , 8.22 , 335 , 91.78 , 259 , 77.31 , 16 , 4.78 , 60 , 17.91 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:29:39,25/04/2010,12:29:39
41230,Senftenbach                   ,583, 319 , 54.72 , 17 , 5.33 , 302 , 94.67 , 221 , 73.18 , 34 , 11.26 , 47 , 15.56 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:40:15,25/04/2010,12:40:15
41231,Taiskirchen im Innkreis       ,"1,944", 970 , 49.90 , 84 , 8.66 , 886 , 91.34 , 653 , 73.70 , 69 , 7.79 , 164 , 18.51 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:43:46,25/04/2010,13:43:46
41232,Tumeltsham                    ,"1,192", 567 , 47.57 , 62 , 10.93 , 505 , 89.07 , 372 , 73.66 , 47 , 9.31 , 86 , 17.03 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:54:00,25/04/2010,12:54:00
41233,Utzenaich                     ,"1,213", 528 , 43.53 , 44 , 8.33 , 484 , 91.67 , 375 , 77.48 , 34 , 7.02 , 75 , 15.50 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:40:20,25/04/2010,12:40:20
41234,Waldzell                      ,"1,710", 731 , 42.75 , 47 , 6.43 , 684 , 93.57 , 526 , 76.90 , 38 , 5.56 , 120 , 17.54 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:49:54,25/04/2010,13:49:54
41235,Weilbach                      ,501, 249 , 49.70 , 28 , 11.24 , 221 , 88.76 , 166 , 75.11 , 15 , 6.79 , 40 , 18.10 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:44:06,25/04/2010,12:44:06
41236,Wippenham                     ,443, 262 , 59.14 , 25 , 9.54 , 237 , 90.46 , 200 , 84.39 , 8 , 3.38 , 29 , 12.24 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:24:13,25/04/2010,12:24:13
41299,Wahlkarten Ried im Innkreis              ,0," 1,953 ", 0 , 111 , 5.68 ," 1,842 ", 94.32 ," 1,458 ", 79.15 , 113 , 6.13 , 271 , 14.71 , 0 , 0 , 0 , 0 , 0 , 0 ,28/04/2010,08:02:12,30/04/2010,15:58:30
41300,Bezirk Rohrbach                      ,"46,107"," 26,693 ", 57.89 ," 2,142 ", 8.02 ," 24,551 ", 91.98 ," 19,643 ", 80.01 ," 2,004 ", 8.16 ," 2,904 ", 11.83 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:19:18,30/04/2010,15:46:03
41301,Afiesl                        ,334, 186 , 55.69 , 10 , 5.38 , 176 , 94.62 , 139 , 78.98 , 14 , 7.95 , 23 , 13.07 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:52:09,25/04/2010,13:52:09
41302,Ahorn                         ,395, 242 , 61.27 , 12 , 4.96 , 230 , 95.04 , 174 , 75.65 , 18 , 7.83 , 38 , 16.52 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:07:30,25/04/2010,13:29:26
41303,Aigen im Mühlkreis            ,"1,555", 794 , 51.06 , 65 , 8.19 , 729 , 91.81 , 602 , 82.58 , 37 , 5.08 , 90 , 12.35 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:59:41,25/04/2010,14:59:41
41304,Altenfelden                   ,"1,750", 956 , 54.69 , 76 , 7.95 , 880 , 92.05 , 707 , 80.34 , 54 , 6.14 , 119 , 13.52 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:34:32,25/04/2010,14:34:32
41305,Arnreit                       ,891, 532 , 59.71 , 45 , 8.46 , 487 , 91.54 , 417 , 85.63 , 22 , 4.52 , 48 , 9.86 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:40:36,25/04/2010,13:40:36
41306,Atzesberg                     ,375, 224 , 59.73 , 26 , 11.61 , 198 , 88.39 , 146 , 73.74 , 26 , 13.13 , 26 , 13.13 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:40:52,25/04/2010,13:40:52
41307,Auberg                        ,445, 262 , 58.88 , 22 , 8.40 , 240 , 91.60 , 181 , 75.42 , 22 , 9.17 , 37 , 15.42 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:08:05,25/04/2010,13:08:05
41308,Berg bei Rohrbach             ,"2,122"," 1,189 ", 56.03 , 111 , 9.34 ," 1,078 ", 90.66 , 851 , 78.94 , 83 , 7.70 , 144 , 13.36 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:00:16,25/04/2010,16:00:16
41309,Haslach an der Mühl           ,"2,132"," 1,308 ", 61.35 , 89 , 6.80 ," 1,219 ", 93.20 , 994 , 81.54 , 101 , 8.29 , 124 , 10.17 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:52:16,25/04/2010,13:52:16
41310,Helfenberg                    ,816, 541 , 66.30 , 43 , 7.95 , 498 , 92.05 , 400 , 80.32 , 36 , 7.23 , 62 , 12.45 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:59:47,25/04/2010,13:59:47
41311,Hörbich                       ,327, 169 , 51.68 , 18 , 10.65 , 151 , 89.35 , 109 , 72.19 , 17 , 11.26 , 25 , 16.56 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:20:18,25/04/2010,13:20:18
41312,Hofkirchen im Mühlkreis       ,"1,182", 565 , 47.80 , 41 , 7.26 , 524 , 92.74 , 430 , 82.06 , 41 , 7.82 , 53 , 10.11 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:08:13,25/04/2010,13:08:13
41313,Julbach                       ,"1,342", 621 , 46.27 , 37 , 5.96 , 584 , 94.04 , 479 , 82.02 , 40 , 6.85 , 65 , 11.13 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:08:25,25/04/2010,13:08:25
41314,Kirchberg ob der Donau        ,866, 502 , 57.97 , 46 , 9.16 , 456 , 90.84 , 387 , 84.87 , 20 , 4.39 , 49 , 10.75 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:23:59,25/04/2010,14:23:59
41315,Klaffer am Hochficht          ,"1,057", 466 , 44.09 , 26 , 5.58 , 440 , 94.42 , 343 , 77.95 , 23 , 5.23 , 74 , 16.82 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:41:07,25/04/2010,13:41:07
41316,Kleinzell im Mühlkreis        ,"1,153", 633 , 54.90 , 43 , 6.79 , 590 , 93.21 , 483 , 81.86 , 30 , 5.08 , 77 , 13.05 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:52:22,25/04/2010,13:52:22
41317,Kollerschlag                  ,"1,183", 560 , 47.34 , 33 , 5.89 , 527 , 94.11 , 371 , 70.40 , 82 , 15.56 , 74 , 14.04 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:39:06,25/04/2010,14:39:06
41318,Lembach im Mühlkreis          ,"1,281", 726 , 56.67 , 61 , 8.40 , 665 , 91.60 , 504 , 75.79 , 64 , 9.62 , 97 , 14.59 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:04:04,25/04/2010,15:04:04
41319,Lichtenau im Mühlkreis        ,442, 267 , 60.41 , 42 , 15.73 , 225 , 84.27 , 171 , 76.00 , 25 , 11.11 , 29 , 12.89 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:08:36,25/04/2010,13:08:36
41320,Nebelberg                     ,512, 260 , 50.78 , 30 , 11.54 , 230 , 88.46 , 174 , 75.65 , 37 , 16.09 , 19 , 8.26 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:52:28,25/04/2010,13:52:28
41321,Neufelden                     ,993, 574 , 57.80 , 35 , 6.10 , 539 , 93.90 , 434 , 80.52 , 42 , 7.79 , 63 , 11.69 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:59:54,25/04/2010,13:59:54
41322,Niederkappel                  ,833, 506 , 60.74 , 61 , 12.06 , 445 , 87.94 , 322 , 72.36 , 63 , 14.16 , 60 , 13.48 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:08:52,25/04/2010,13:08:52
