,,,,,,,,,,,,,,,,,,,,,,,,,,,0, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$71,332,574 ",Enron Europe Total,"($303,888)","$3,950,544 ","$3,917,135 ","$6,989,425 ","$6,989,425 ",,,,,,,,,,,,,,,,,,,,0," 4,254,432.49 ","$4,558,321 ","($303,888)",$0 ,$0 ,$0 ,$0 ,"($33,410)","$307,229 ",$0 ,$0 ,$0 ,$0 ,"$2,457,832 ",$0 ,"$307,229 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($301,112)",$0 ,$0 ,$0 ,$0 ,"$301,112 ","($225,617)",$0 ,"($293,422)",$0 ,$0 ,"($880,267)","($7,430,693)",$0 ,$0 ,$0 ,$0 ,$0 ,($0),$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($31,910)",$0 ,$0 ,"($298,429)",$0 ,"$1,203,141 ","($298,429)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$298,429 ","$1,193,717 ","$65,403 ","$261,706 ","$589,689 ","$294,844 ",$0 ,$0 ,$0 ,$0 ,"$294,844 ",$0 ,"($294,844)","($294,844)",$0 ,$0 ,"$294,844 ",$0 ,$0 ,"($294,844)",$0 ,$0 ,$0 ,"$1,089,002 ","$293,111 ",$0 ,$0 ,$0 ,"$18,670,274 ","$153,084 ","$459,252 ",$0 ,$0 ,$0 ,"($459,252)","($153,084)","$306,168 ","($153,084)","($153,084)",$0 ,$0 ,$0 ,$0 ,"$1,419,493 ","($862,830)","$1,530,840 ","($248,268)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,940 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($310,335)",$0 ,$0 ,($333),"($310,668)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$310,668 ","$310,668 ","$12,932 ","$10,748,000 ",$0 ,$0 ,"$310,305 ",$0 ,"$620,609 ","($620,609)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$32,850 ","($32,850)",$0 ,"$64,277 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $(325,608.05)"," $(325,608.05)"," $(689,239.48)"," $(1,604.69)", $-   , $-   ," $325,264.21 ", $-   , $-   , $-   , $-   , $-   ," $(325,264.21)"," $(325,264.21)", $-   ," $(325,264.21)", $-   ," $(650,528.42)"," $650,528.42 "," $(325,264.21)", $-   ," $(325,264.21)"," $325,264.00 ", $-   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    Enron Broadband Svcs. - Publics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.00 ,"5,628,516 ",Equinix EBS,"(175,891)","586,304 ","58,630 ","1,524,390 ","1,524,390 ",,,,,Equinix EBS,,,,,,,,,,,,,,,Equinix EBS," 762,194.88 ","(293,152)","351,782 ","791,510 ","(87,946)","(586,304)",0 ,"58,630 ",0 ,"(117,261)","58,630 ","(469,043)","(469,043)","586,304 ","351,782 ","117,261 ","58,630 ","175,891 ","586,304 ","351,782 ","703,565 ","58,630 ","87,946 ","(205,206)","(58,630)","351,782 ",0 ,"58,630 ","(762,195)","820,825 ","(293,152)","(117,261)","(58,630)","(58,630)","(762,195)","(644,934)","(263,837)","(791,510)","(293,152)","(58,630)","410,413 ","1,055,347 ",0 ,"938,086 ","(293,152)","(234,522)","117,261 ","117,261 ","410,413 ","(469,043)","(527,673)","(527,673)","(29,315)","29,315 ","(175,891)","(117,261)","(293,152)","263,837 ","29,315 ","(293,152)","(410,413)","(351,782)","(439,728)","(146,576)","(762,195)",0 ,"(234,522)","(117,261)","(469,043)",0 ,"762,195 ","(58,630)","(58,630)","527,673 ","58,630 ","175,891 ","879,456 ","381,097 ","(1,084,662)","234,522 ","(293,152)","527,673 ","2,227,954 ","996,716 ","(1,465,759)","(469,043)","87,946 ","(439,728)","(527,673)","(762,195)","(527,673)","(351,782)","(1,055,347)","615,619 ","87,946 ","(175,891)","(1,055,347)","(58,630)","234,522 ","(820,825)","(762,195)","(469,043)","(117,261)","175,891 ","(469,043)","(820,825)","(117,261)","(351,782)","(1,055,347)","(58,630)","(175,891)","(410,413)","1,876,172 ","762,195 ","234,522 ","234,522 ","762,195 ","(879,456)","(469,043)","(1,583,020)","820,825 ","2,169,324 ","(351,782)","234,522 ","117,261 ","(2,889,305)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.56 ,"(1,434,552)",Inktomi EBS,"(166,236)","(67,726)","209,334 ","327,974 ","327,974 ",,,,,Inktomi Hedge EBS,,,,,,,,,,,,,,,Inktomi Hedge EBS," 98,510.00 ","129,294 ","(129,294)","73,883 ","24,628 ","18,471 ","135,451 ","123,138 ","129,294 ","55,412 ","(80,039)","(61,569)","147,765 ","(103,473)","(37,500)","(56,250)","106,250 ","(3,125)","(72,656)","29,688 ","(103,906)","(28,125)","(25,000)","(84,375)","18,750 ","87,500 ","231,250 ","(196,875)","165,625 ","109,375 ","112,500 ","137,500 ","(6,250)","(234,375)","196,875 ","328,125 ","231,250 ","178,125 ","(90,625)","62,500 ","328,125 ","203,125 ","(350,000)","(290,625)","90,625 ","(178,125)","(625,000)","125,000 ","81,250 ","56,250 ","(146,875)","281,250 ","(37,500)","(37,500)","393,750 ","290,625 ","231,250 ","168,750 ","87,500 ","134,375 ","(371,875)","87,500 ","384,375 ","325,000 ","287,500 ","(140,625)","146,875 ","131,250 ","(215,625)","(187,500)","(231,250)","456,250 ","753,125 ","40,625 ","(203,125)","190,625 ","(178,125)","(350,000)","(278,125)","668,750 ","215,625 ","(143,750)","(356,250)","159,375 ","615,625 ","293,750 ","(275,000)","550,000 ","267,099 ","(35,938)",(90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$4,193,964 ",Enron Broadband Svcs. Public Positions Total,"($342,127)","$518,578 ","$267,964 ","$1,852,363 ","$1,852,363 ",,,,,,,,,,,,,,,,,,,,,,"($163,858)","$222,488 ","$865,393 ","($63,318)","($567,833)","$135,451 ","$181,768 ","$129,294 ","($61,849)","($21,409)","($530,612)","($321,278)","$482,830 ","$314,282 ","$61,011 ","$164,880 ","$172,766 ","$513,648 ","$381,470 ","$599,658 ","$30,505 ","$62,946 ","($289,581)","($39,880)","$439,282 ","$231,250 ","($138,245)","($596,570)","$930,200 ","($180,652)","$20,239 ","($64,880)","($293,005)","($565,320)","($316,809)","($32,587)","($613,385)","($383,777)","$3,870 ","$738,538 ","$1,258,472 ","($350,000)","$647,461 ","($202,527)","($412,647)","($507,739)","$242,261 ","$491,663 ","($412,793)","($674,548)","($246,423)","($66,815)","($8,185)","$217,859 ","$173,364 ","($61,902)","$432,587 ","$116,815 ","($158,777)","($782,288)","($264,282)","($55,353)","$178,424 ","($474,695)","($140,625)","($87,647)","$13,989 ","($684,668)","($187,500)","$530,945 ","$397,620 ","$694,495 ","$568,298 ","($144,495)","$366,516 ","$701,331 ","$31,097 ","($1,362,787)","$903,272 ","($77,527)","$383,923 ","$1,871,704 ","$1,156,091 ","($850,134)","($175,293)","($187,054)","$110,272 ","($260,574)","($798,132)","($527,763)","($351,782)","($1,055,347)","$615,619 ","$87,946 ","($175,891)","($1,055,347)","($58,630)","$234,522 ","($820,825)","($762,195)","($469,043)","($117,261)","$175,891 ","($469,043)","($820,825)","($117,261)","($351,782)","($1,055,347)","($58,630)","($175,891)","($410,413)","$1,876,172 ","$99,668,769 ","$234,522 ","$234,522 ","$762,195 ","($879,456)","($469,043)","($1,583,020)","$820,825 ","$2,169,324 ","($351,782)","$234,522 ","$117,261 ","($2,889,305)",$0 ,$0 ,$0 ,$0 ,$0 ,"($100,000,000)","$34,442,919 ","$26,788,937 ","$9,977,512 ","$1,776,817 ","$86,788,966 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $(11,216.07)"," $362,925.77 "," $634,819.01 "," $197,756.51 "," $(407,634.12)"," $315,881.51 "," $(83,098.97)"," $(251,118.49)"," $(274,743.49)"," $1,065,975.26 "," $100,097.65 "," $(413,540.37)"," $(510,993.49)"," $(918,524.74)"," $(471,864.59)"," $(733,421.88)"," $26,475.26 "," $555,084.63 "," $245,006.51 "," $(144,805.99)"," $(1,320,355.48)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$75,121,754 ",Enron Broadband Svcs. Other Total,"$184,452 ","$75,147 ","($232,273)","($362,073)","($362,073)",,,,,,,,,,,,,,,,,,,,,,"($143,463)","$143,463 ","($81,979)","($27,326)","($20,495)","($150,294)","($136,631)","($143,463)","($61,484)","$88,810 ","$68,316 ","($163,958)","$150,294 ","$81,979 ","$122,968 ","($232,273)","$6,832 ","$158,834 ","($64,900)","$227,149 ","$61,484 ","$54,653 ","$184,452 ","($40,989)","($191,284)","($505,536)","$430,388 ","($362,073)","($1,046,173)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($4,000,000)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($3,000,000)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 , $-   ," $10,000,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$79,315,718 ",Enron Broadband Svcs. Total,"($157,675)","$593,725 ","$35,691 ","$1,490,291 ","$1,490,291 ",,,,,,,,,,,,,,,,,,,,,,"($307,320)","$365,951 ","$783,414 ","($90,644)","($588,328)","($14,843)","$45,137 ","($14,168)","($123,333)","$67,401 ","($462,296)","($485,236)","$633,125 ","$396,261 ","$183,979 ","($67,393)","$179,598 ","$672,481 ","$316,570 ","$826,808 ","$91,989 ","$117,598 ","($105,129)","($80,870)","$247,999 ","($274,286)","$292,144 ","($958,643)","($115,973)","($180,652)","$20,239 ","($64,880)","($293,005)","($565,320)","($316,809)","($32,587)","($613,385)","($383,777)","$3,870 ","$738,538 ","$1,258,472 ","($350,000)","$647,461 ","($202,527)","($412,647)","($507,739)","$242,261 ","$491,663 ","($412,793)","($674,548)","($246,423)","($66,815)","($8,185)","$217,859 ","$173,364 ","($61,902)","$432,587 ","$116,815 ","($158,777)","($782,288)","($264,282)","($55,353)","$178,424 ","($474,695)","($140,625)","($87,647)","$13,989 ","($684,668)","($187,500)","$530,945 ","$397,620 ","$694,495 ","$568,298 ","($144,495)","$366,516 ","$701,331 ","$31,097 ","($1,362,787)","$903,272 ","($77,527)","$383,923 ","$1,871,704 ","$1,156,091 ","($850,134)","($175,293)","($187,054)","$110,272 ","($260,574)","($798,132)","($527,763)","($351,782)","($5,055,347)","$615,619 ","$87,946 ","($175,891)","($1,055,347)","($58,630)","$234,522 ","($820,825)","($762,195)","($469,043)","($117,261)","$175,891 ","($469,043)","($820,825)","($117,261)","($351,782)","($1,055,347)","($58,630)","($175,891)","($410,413)","$1,876,172 ","$99,668,769 ","$234,522 ","$234,522 ","$762,195 ","($879,456)","($469,043)","($1,583,020)","$820,825 ","$2,169,324 ","($351,782)","$234,522 ","$117,261 ","($2,889,305)",$0 ,$0 ,$0 ,$0 ,$0 ,"($100,000,000)","$34,442,919 ","$26,788,937 ","$9,977,512 ","$1,776,817 ","$86,788,966 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($3,000,000)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 , $-   ," $10,000,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $(11,216.07)"," $362,925.77 "," $634,819.01 "," $197,756.51 "," $(407,634.12)"," $315,881.51 "," $(83,098.97)"," $(251,118.49)"," $(274,743.49)"," $1,065,975.26 "," $100,097.65 "," $(413,540.37)"," $(510,993.49)"," $(918,524.74)"," $(471,864.59)"," $(733,421.88)"," $26,475.26 "," $555,084.63 "," $245,006.51 "," $(144,805.99)"," $(1,320,355.48)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$14,661,562 ",Enron Networks Total,$0 ,$0 ,$0 ,"($152,325)","($152,325)",,,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($1,041)","$91,000 ","($242,284)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($4,000,000)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$303,928 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($420,137)",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,756,037 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$477,994 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 , $-   , $-   , $-   , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"$131,581,704 ",Enron Global Markets Total,"$9,375 ","$9,375 ","$346,545 ","$268,697 ","$268,697 ",,,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$337,170 ","$6,572 ",($520),"$3,154 ","($1,948,254)","$2,058,931 ","$1,542 ","$2,415,397 ","($2,469,723)","($3,084)","$5,820 ",$28 ,"$5,634 ","($1,364)","$2,611 ","$1,633 ",($434),"$10,062 ",($246),"$2,289 ","($1,238)","($166,659)","$678,122 ","$1,457 ","$2,123 ","$9,429 ",($792),"($1,100,924)","$1,460 ","$3,223 ","$4,194 ","($8,144)","$13,592 ","($2,204)","$1,108 ","$4,738 ","$1,339 ",$886 ,"$4,122 ","($2,904)","$1,495 ","$1,397 ","$1,735 ",$881 ,"$2,060 ","$4,667 ","$2,280 ","$2,455 ","$1,855 ","$5,671 ","$2,197 ",$648 ,"$2,056 ","$4,347 ","$3,786 ",$829 ,$694 ,"$2,386 ",$887 ,"$3,418 ",($477),"$2,231 ",$718 ,"($2,692)","$6,069 ","$1,097 ","$1,821 ",($63),"$262,709 ","$5,228 ",$260 ,"$6,869 ","$1,004 ","$1,985 ","$3,691 ",($978),"$3,207 ","$1,289 ","$1,631 ","$3,448 ","$285,181 ","$2,964 ","$1,884 ","$2,086 ","($243,749)","$523,451 ","$1,096 ","$1,028 ","$2,176 ","$6,139 ",($702),"$2,088 ","($8,195)","$3,910 ","$4,611 ","$2,589 ","$233,333 ","$3,470 ","($7,476,201)","$3,920 ","$1,588 ","$1,334 ","$1,356 ","$5,578 ",$119 ,"$94,753 ",$941 ,"$1,938 ","($44,561)",$940 ,$588 ,$836 ,"$2,069 ","$3,554 ",$662 ,"$280,470 ","$1,968 ",($494),"$3,371 ","$2,655 ","($500,008)",$124 ,$305 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    Enron RAPTOR - US Publics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.44 ,"19,847,767 ",Active Power Raptor I,"(574,373)","(1,084,926)","(4,403,524)","(1,703,118)","(1,703,118)",,,,,Active Power Raptor I,,,,,,,,,,,,,,,Active Power Raptor I," (510,553.50)","(1,340,203)","(1,404,022)","(1,084,926)","3,318,598 ","(63,819)","(1,467,841)","(1,786,937)","(1,276,384)","2,169,852 ","(127,638)","3,063,321 ","(4,084,428)","(1,531,661)","(1,850,756)","(1,786,937)","2,361,310 ","2,808,044 ","(3,701,513)","4,503,300 ","1,116,835 ","3,350,505 ","(478,644)","319,096 ","558,418 ","(159,548)","(797,739)","717,965 ","(2,472,992)","(3,270,731)","4,626,888 ","638,192 ","3,749,375 ","638,192 ","2,153,896 ","(3,031,410)","(1,116,835)","(1,755,027)","(2,792,088)","(717,965)","(638,192)","(3,510,053)","3,111,184 ","5,584,176 ","(4,547,114)","3,350,505 ","3,829,149 ","239,322 ","3,988,697 ","(877,513)","(1,037,061)","(2,951,636)","(1,116,835)","2,153,896 ","(2,472,992)","797,739 ","(877,513)","(1,994,348)","(159,548)","(3,190,958)","3,669,601 ","(717,965)","(3,589,827)","(3,350,505)","(1,834,801)","(1,356,157)","(3,190,958)","(3,669,601)","(3,829,149)","(1,595,479)","2,712,314 ","(5,743,724)","(1,834,801)","79,774 ","(6,701,011)","9,572,873 ","(1,116,835)","1,515,705 ","2,792,088 ","(3,510,053)","(8,456,037)","1,595,479 ","9,174,003 ","7,897,620 ","159,548 ","(7,977,394)","(3,669,601)","(5,344,854)","(9,014,455)","(4,307,793)","(6,860,559)","(1,435,931)","2,552,766 ","(6,541,463)","957,287 ","(2,074,122)","(3,350,505)","(1,755,027)","3,430,279 ","(1,994,348)","(1,515,705)","(4,467,341)","6,461,689 ","(5,424,628)","8,954,624 ","10,669,764 ","(7,339,202)","(6,222,367)","1,276,383 ","1,276,383 ","1,356,157 ","(6,780,785)","13,800,891 ","(3,111,184)","11,646,995 ","6,381,915 ","(2,393,218)","19,943 ","5,723,780 ","(3,988,697)","(1,116,835)","(2,353,331)","4,985,871 ","(7,578,524)",0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.88 ,"19,921,879 ",Catalytica Common TRS Raptor I,"(1,088,170)","(2,176,340)","(2,343,751)","(3,180,804)","(3,180,804)",,,,,Catalytica Common TRS Raptor I,,,,,,,,,,,,,,,Catalytica Common TRS Raptor I," (1,088,169.88)","(753,348)","502,232 ","(167,411)","(669,643)","(167,411)","502,232 ","(502,232)","837,054 ","1,674,108 ","585,938 ","251,116 ","(251,116)","251,116 ","(167,411)","(334,822)","167,411 ",0 ,"585,938 ","(251,116)","(167,411)","(669,643)","(334,822)","(502,232)","(920,759)","(1,171,875)",0 ,"(418,527)",0 ,"(1,004,465)","1,004,465 ","1,339,286 ","(251,116)","(83,705)","4,854,912 ",0 ,0 ,0 ,"(334,822)","(43,021,892)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
