RR_Definition,UI Section,UI Field Name,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int_rate_index_desc,Loan/Property,Interest Rate Index,"LIBOR, 1 Month Rate","LIBOR, 1 Month Rate","LIBOR, 1 Month Rate","LIBOR, 1 Month Rate","LIBOR, 1 Month Rate","LIBOR, 1 Month Rate","LIBOR, 1 Month Rate",12 MTA,"Treasury Bond, 10 Year Rate","LIBOR, 6 Month Rate","Treasury Bond, 10 Year Rate",12 MTA,12 MTA,12 MTA,"LIBOR, 6 Month Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 7 Year Rate","Treasury Bond, 10 Year Rate",12 MTA,12 MTA,12 MTA,12 MTA,12 MTA,12 MTA,"Treasury Bond, 10 Year Rate","LIBOR, 6 Month Rate","Treasury Bond, 10 Year Rate",12 MTA,"Treasury Bond, 10 Year Rate",12 MTA,"Treasury Bond, 10 Year Rate",12 MTA,"Treasury Bond, 7 Year Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 10 Year Rate",Prime Rate,12 MTA,12 MTA,12 MTA,12 MTA,"Treasury Bond, 10 Year Rate",12 MTA,"Treasury Bond, 10 Year Rate","Treasury Bond, 1 Year Rate",,,,,12 MTA,12 MTA,12 MTA,12 MTA,12 MTA,12 MTA,12 MTA,12 MTA,12 MTA,,12 MTA,,12 MTA,"Treasury Bond, 1 Year Rate",12 MTA,12 MTA,12 MTA,12 MTA,12 MTA,"Treasury Bond, 10 Year Rate",12 MTA,,12 MTA,12 MTA,12 MTA,"LIBOR, 6 Month Rate",12 MTA,"LIBOR, 6 Month Rate",,"LIBOR, 6 Month Rate","Treasury Bond, 7 Year Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 7 Year Rate","Treasury Bond, 10 Year Rate","Treasury Bond, 10 Year Rate",12 MTA,12 MTA,"LIBOR, 1 Month Rate",,,"LIBOR, 1 Month Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
margin,Loan/Property,Interest Rate Margin (%),1.40,1.85,1.65,1.55,,,,2.3,1.9,2.6,1.32,2.2,2.4,2.5,2,1.6,1.5,1.85,2.3,2.2,2.3,2.2,2.3,2.2,1.7,2,1.65,2.3,1.075,2.1,0,2.2,1.75,1.7,1.8,1.75,1.8,1.7,1.65,1.8,0.25,2.6,2.4,2.3,2.8,1.42,2.5,2.4,2.2,,,,,2.4,2.2,2.2,2.3,2.2,2.6,2.2,2.25,2,,2.8,1.265,,2.65,2.4,2.3,2.1,2.3,2.2,1.37,2.3,1.72,2.5,2.55,2.7,2.2,2.2,2,1.85,2,2.25,1.8,1.55,2.1,1.6,1.65,2.3,2.1,1.075,2.8,2,2.5,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int_rate_floor,Loan/Property,Interest Rate Floor (%),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int_rate_cap,Loan/Property,Interest Rate Ceiling (%),,,,,,,,12.127,0,13.00063,,12.13,12.33,12.43,12.4,0,,,12.28,12.19,12.28,12.18,12.23,12.19,NA,12.38,NA,12.13,,,,12.13,,,,,,,,,,12.58,12.33,12.28,12.73,,12.48,,12.13,,,,,12.38,12.18,12.13,12.23,12.18,12.59,12.18,12.18,12.48,,12.72,,,12.63,12.38,12.23,12.08,12.23,12.19,,12.23,,12.43,12.48,12.63,12.6,12.13,21.4,,12.34,,,,,,,12.28,12.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int_rate_reset_freq,Loan/Property,Interest Rate Reset Frequency (months),,,,,1,1,1,6,0,6,,6,6,1,6,NA,NA,NA,120,6,6,1,6,6,NA,6,6,1,,12,0,1,0,0,0,0,0,0,0,0,1,1,6,6,12,0,6,1,12,,,,,120,120,60,120,84,60,60,60,120,,84,120,,36,6,6,6,6,6,,6,,1,1,60,6,1,6,,6,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int_rate_change_date,Loan/Property,Next Interest Rate Reset Date,,,,,,,,4/1/17,,4/1/10,,4/1/17,4/1/17,3/1/10,4/1/12,,,,4/1/17,4/1/17,4/1/17,4/1/14,4/1/17,4/1/17,,4/1/14,,4/1/12,,4/1/10,,4/1/14,,,,,,,,,5/1/07,4/1/12,4/1/12,4/1/17,4/1/14,,4/1/14,4/1/17,4/1/07,,,,,5/1/14,4/1/17,4/1/12,4/1/17,4/1/14,4/1/12,4/1/12,4/1/12,4/1/17,,3/1/14,4/1/17,,4/1/10,4/1/17,4/1/17,4/1/17,4/1/17,4/1/17,,4/1/17,,4/1/12,4/1/12,4/1/14,4/1/14,4/1/12,4/1/14,,3/14/07,,,,,,,4/1/10,3/1/10,4/1/17,7/23/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property_condition,Loan/Property,Latest Property Condition,NA ,NA ,NA ,NA ,NA ,NA ,NA ,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Average,Average,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Average,Average,Average,Average,Good,Average,Average,Average,Average,Average,Good,Good,Average,Good,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Fair,Average,Average,Average,Good,Average,Average,Good,Good,Average,Good,Good,Average,Average,Average,NA ,NA ,NA ,NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property_grade,Loan/Property,Property Grade/Class,A,NA,A,A,A,A,,B,B,C,C,C,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B,C,B,B,C,B,B,B,B,B,B,D,B,B,D,B,B,A,B,B,B,B,B,C,B,B,B,B,D,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twlv_month_payment_history,Loan/Property,Twelve Month Payment History,0,0,NA,0,0,0,,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_rating,Loan/Property,Quadrant Score,,,QIIIA or QIIB,QIA,,,,QIIIA or QIIB,QIIA,QIIA,QIIIA or QIIB,QIIIA or QIIB,QIIIA or QIIB,QIA,QIA,QIA,QIA,QIA,QIA,QIA,QIVA,QIA,QIA,QIA,QIIIA or QIIB,QIVB,QIA,QIIIA or QIIB,QIA,QIIIA or QIIB,NA,QIVB,QIIIA or QIIB,QIIIB,QIB,QIVB,QIIIB,QIA,QIA,QIB,QIVB,QIB,QIB,QIB,QIVB,QIA,QIIA,QIVB,QIVB,QIIIA or QIIB,QIA,QIIIA or QIIB,QIVA,QIIA,QIVB,QIIIA or QIIB,QIA,QIA,QIIIA or QIIB,QIIIA or QIIB,QIVB,QIA,QIIA,QIVA,QIA,QIVB,QIIIA or QIIB,QIIIA or QIIB,QIA,QIA,QIA,QIIA,QIIA,QIA,QIVB,QIA,QIA,QIVB,QIA,QIA,QIA,QIIIA or QIIB,QIIIB,QIIIA or QIIB,QIIIA or QIIB,QIIIB,QIIA,QIA,QIA,QIIIA or QIIB,QIA,QIA,QIIA,QIA,QIA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lease_rollover,Loan/Property,Lease Rollover (24 months),,,,,,,,,0,0,,,,,96,58,0,50,,,,,,,0,0,0,,,,,,63,0,10,0,76,0,58,7,,,,,,,,,,100,0,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,,,,,,,,,,,,,,,,33.6,0,0,0,0,38,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppty_mgmt_experience,Loan/Property,Property Management Experience,Strong regional management/retained property mgt company with expertise and depth.,Experienced long-term property mgt with proven success through market down cycles.,Proven mgt or retained professional mgt company.,Experienced long-term property mgt with proven success through market down cycles.,Proven mgt or retained professional mgt company.,Strong regional management/retained property mgt company with expertise and depth.,,Limited property mgt skills.,Proven mgt or retained professional mgt company.,Limited property mgt skills.,No property mgt experience or ineffective,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Limited property mgt skills.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Experienced long-term property mgt with proven success through market down cycles.,Proven mgt or retained professional mgt company.,Limited property mgt skills.,Limited property mgt skills.,No property mgt experience or ineffective,Limited property mgt skills.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Strong regional management/retained property mgt company with expertise and depth.,Proven mgt or retained professional mgt company.,Limited property mgt skills.,Proven mgt or retained professional mgt company.,Strong regional management/retained property mgt company with expertise and depth.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Limited property mgt skills.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Limited property mgt skills.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Experienced long-term property mgt with proven success through market down cycles.,Proven mgt or retained professional mgt company.,Limited property mgt skills.,Limited property mgt skills.,Limited property mgt skills.,Limited property mgt skills.,Proven mgt or retained professional mgt company.,Limited property mgt skills.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,Proven mgt or retained professional mgt company.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vacancy,Loan/Property,Current Vacancy,,,,,,,,0,0,0,4,0,87.5,9.4,0,35,0,13.4,0,0,0,0,0,0,0,0,0,8.9,0,11,5.1,0,0,0,0,0,0,0,0,0,0,0,0,11,25,7.6,0,0,0,0,0,8,0,0,0,0,0,0,12.5,0,5.5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,2,0,0,0,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occupancy,Loan/Property,Current Occupancy,,,,,,,,100,100,100,96,100,13,91,100,65,100,87,100,100,100,100,100,100,100,100,100,92,100,89,95,100,100,100,100,100,100,100,100,100,100,100,100,89,75,93,100,100,100,100,100,92,100,100,100,100,100,100,88,100,95,100,100,100,100,88,100,100,100,100,100,100,100,100,100,94.9,100,100,100,100,98,100,100,100,100,100,100,0,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_loan_to_cost,Loan/Property,Current Loan to Cost,85,65.0,100.0,80.0,100.0,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4,22,55.3,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leasing_status,Loan/Property,Leasing Status During Lease Up,,,,,Meets underwriting,Meets underwriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construction_progress,Loan/Property,Construction Progress,On schedule/budget,On schedule/budget,,On schedule/budget,On schedule/budget,On schedule/budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bankruptcy,Default,Bankruptcy (Yes or No),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tax_delinquency,Default,Tax Delinquency  (Yes or No),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_on_loan,Default,Default on Loan  (Yes or No),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreclosure,Default,Foreclosure  (Yes or No),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payment_status,Default,Delinquent Payment Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non_accrual,Default,Non Accrual  (Yes or No),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collateral_dependent,Default,"Troubled, Collateral-Dependent  (Yes or No)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trouble_debt_restructure,Default,Trouble Debt Restructure  (Yes or No),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsc_less_than_1.0,Default,DSC < 1.0  (Yes or No),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltv_greater_than_100,Default,LTV > 100  (Yes or No),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
